# Time-averaged data for fix 2
# TimeStep c_mytemp c_mypress v_vmyvol v_avgEtotal
0 300 2430.03 529.573 -3.37309
1 299.541 2455.88 529.574 -3.37309
2 298.164 2514.47 529.575 -3.37308
3 295.876 2611.46 529.576 -3.37307
4 292.686 2745.77 529.579 -3.37306
5 288.608 2917.26 529.582 -3.37304
6 283.663 3123.78 529.586 -3.37302
7 277.874 3363.12 529.59 -3.37299
8 271.275 3633.16 529.596 -3.37297
9 263.902 3932.52 529.603 -3.37294
10 255.8 4257.4 529.61 -3.3729
11 247.023 4605.64 529.619 -3.37287
12 237.628 4974.71 529.629 -3.37283
13 227.682 5360.19 529.64 -3.37279
14 217.259 5759.74 529.653 -3.37275
15 206.438 6169.51 529.667 -3.37271
16 195.304 6587.03 529.683 -3.37267
17 183.948 7007.53 529.7 -3.37263
18 172.461 7426.31 529.72 -3.37259
19 160.941 7842.58 529.741 -3.37255
20 149.485 8249.71 529.764 -3.37251
21 138.189 8645.47 529.79 -3.37248
22 127.15 9026.27 529.818 -3.37244
23 116.461 9388.47 529.848 -3.37241
24 106.21 9727.75 529.88 -3.37238
25 96.4829 10042.5 529.915 -3.37235
26 87.3584 10329.8 529.952 -3.37232
27 78.9085 10587.3 529.993 -3.3723
28 71.198 10812.2 530.036 -3.37228
29 64.2834 11005.1 530.081 -3.37226
30 58.2127 11163 530.13 -3.37225
31 53.0249 11284.7 530.181 -3.37224
32 48.7497 11371.2 530.235 -3.37223
33 45.4068 11422.8 530.293 -3.37222
34 43.0066 11437 530.353 -3.37221
35 41.5496 11415.6 530.416 -3.3722
36 41.0266 11359.2 530.482 -3.3722
37 41.4189 11267 530.55 -3.37219
38 42.699 11142.5 530.622 -3.37219
39 44.8307 10984.7 530.697 -3.37218
40 47.77 10795.7 530.774 -3.37217
41 51.4654 10575.1 530.854 -3.37216
42 55.859 10326.5 530.936 -3.37215
43 60.8874 10051.9 531.022 -3.37213
44 66.4825 9752.61 531.109 -3.37211
45 72.5727 9430.78 531.199 -3.37209
46 79.0838 9088.12 531.292 -3.37206
47 85.9404 8729.38 531.387 -3.37203
48 93.0666 8356.47 531.484 -3.37199
49 100.387 7971.55 531.582 -3.37195
50 107.829 7578.25 531.683 -3.3719
51 115.323 7177.96 531.786 -3.37184
52 122.801 6774.59 531.891 -3.37178
53 130.2 6372.36 531.997 -3.37171
54 137.464 5972.26 532.104 -3.37164
55 144.539 5576.63 532.213 -3.37156
56 151.379 5187.83 532.324 -3.37148
57 157.94 4810.15 532.435 -3.37139
