LAMMPS (23 Jun 2022 - Update 4)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Lattice spacing in x,y,z = 4.04525 4.04525 4.04525
Created orthogonal box = (0 0 0) to (8.0905 8.0905 8.0905)
  1 by 1 by 2 MPI processor grid
Created 32 atoms
  using lattice units in orthogonal box = (0 0 0) to (8.0905 8.0905 8.0905)
  create_atoms CPU = 0.000 seconds
Reading eam/alloy potential file ./Al_mm.eam.fs with DATE: 2007-06-11
Temp                     Press                     Vol                     Etotal
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8.5
  ghost atom cutoff = 8.5
  binsize = 4.25, bins = 2 2 2
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair eam/alloy, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 3.596 | 3.596 | 3.596 Mbytes
   Step          Time           Temp          PotEng         KinEng         TotEng        c_mytemp      c_mypress        Volume    
         0   0              300           -109.14102      1.2021193     -107.9389       300            2430.0276      529.57331    
      1000   1              607.5197      -106.26222      2.4343706     -103.82785      607.5197       149.55891      550.89896    
      2000   2              685.95066     -105.97211      2.7486485     -103.22346      685.95066      2911.0157      554.11278    
      3000   3              731.45019     -106.06207      2.9309681     -103.1311       731.45019     -2394.0815      555.91273    
      4000   4              884.78946     -106.71095      3.5454084     -103.16555      884.78946      353.30496      551.22828    
      5000   5              659.49084     -105.93542      2.6426223     -103.2928       659.49084     -3769.7392      556.19969    
      6000   6              598.39043     -105.66301      2.3977891     -103.26522      598.39043     -683.4393       556.88251    
      7000   7              784.35326     -106.30362      3.1429541     -103.16066      784.35326     -229.82768      553.14938    
      8000   8              574.54047     -105.54076      2.3022207     -103.23854      574.54047     -2441.7715      558.71711    
      9000   9              839.36467     -106.50868      3.3633884     -103.14529      839.36467     -2793.7341      554.98476    
     10000   10             745.43948     -106.1374       2.9870241     -103.15037      745.43948     -2799.0504      555.62078    
     11000   11             733.10388     -106.15202      2.9375945     -103.21442      733.10388     -3712.2881      555.31682    
     12000   12             776.05514     -106.33191      3.109703      -103.22221      776.05514     -6537.3436      555.85337    
     13000   13             627.81844     -105.80616      2.515709      -103.29045      627.81844      6298.2933      552.61041    
