# Time-averaged data for fix 3
# TimeStep c_mytemp c_mypress v_vmyvol v_avgEtotal
1000 384.546 261.246 542.553 -3.31287
2000 690.842 -224.845 554.296 -3.22807
3000 698.211 -308.521 555.054 -3.225
4000 701.257 -40.0658 555.619 -3.22429
5000 700.62 195.009 554.535 -3.22557
6000 697.481 -679.793 555.015 -3.22614
7000 698.297 123.792 555.045 -3.22557
8000 698.361 -85.3455 555.387 -3.22496
9000 701.189 -408.287 555.337 -3.22443
10000 697.662 135.705 554.737 -3.22555
11000 701.087 -358.742 554.708 -3.22521
12000 701.547 -324.084 554.703 -3.22605
13000 698.576 -108.806 554.872 -3.22542
14000 699.31 -5.53528 554.516 -3.22542
15000 698.983 -251.767 555.236 -3.22514
16000 702.594 -460.283 554.808 -3.22596
17000 696.347 198.396 555.113 -3.22528
18000 698.515 -269.409 554.8 -3.22585
19000 699.988 -195.771 554.866 -3.22565
20000 698.541 -120.152 555.244 -3.22503
21000 701.655 -106.618 555.036 -3.22488
22000 699.824 -19.2446 554.765 -3.22534
23000 700.018 -164.572 554.7 -3.22598
24000 699.661 -86.3547 554.662 -3.22613
25000 699.451 -459.188 554.933 -3.22521
26000 698.879 -291.02 555.441 -3.22384
27000 700.049 90.8517 554.637 -3.22566
28000 698.721 -155.9 554.394 -3.22633
29000 697.116 -407.035 555.787 -3.22455
30000 700.224 105.091 554.886 -3.22479
31000 698.829 -328.609 555.685 -3.22431
32000 700.96 -190.936 555.168 -3.22472
33000 700.579 14.766 554.746 -3.22455
34000 700.063 -135.116 554.588 -3.22605
35000 697.754 135.849 554.54 -3.22574
36000 700.512 -614.45 554.912 -3.22574
37000 696.293 -140.544 555.071 -3.22433
38000 702.987 56.0143 555.18 -3.22436
39000 696.381 -270.568 555.194 -3.22509
40000 704.457 -328.622 555.05 -3.22556
41000 693.898 127.542 555.147 -3.22481
42000 703.179 -171.946 554.648 -3.22487
43000 696.278 -126.778 554.458 -3.22632
44000 701.013 -233.281 555.35 -3.22494
45000 701.367 -189.037 554.528 -3.22631
46000 697.544 -208.672 555.371 -3.22463
47000 702.3 -345.939 555.381 -3.22437
48000 696.392 8.21626 554.926 -3.22467
49000 699.899 67.6375 554.752 -3.22524
50000 701.145 -417.129 554.811 -3.22572
51000 700.372 -331.924 555.45 -3.22467
52000 697.904 39.4058 555.135 -3.22393
53000 701.477 -212.378 554.95 -3.22519
54000 697.613 120.359 554.511 -3.22643
55000 702.355 -101.913 554.699 -3.22598
56000 695.063 -815.941 555.973 -3.22408
57000 699.376 216.584 554.411 -3.2249
58000 700.664 -12.5493 554.847 -3.22544
59000 700.259 -244.38 554.612 -3.22584
60000 700.906 -292.716 555.106 -3.22437
61000 694.759 -136.266 555.47 -3.22439
62000 699.177 -103.183 555.402 -3.22387
63000 699.793 -123.831 555.132 -3.22465
64000 700.324 -114.437 555.344 -3.22445
65000 698.501 -143.763 554.244 -3.22625
66000 702.731 -354.475 554.904 -3.22569
67000 696.963 31.7831 554.724 -3.22563
68000 697.962 -362.175 554.719 -3.22615
69000 703.442 -96.9077 554.834 -3.22491
70000 699.724 -31.1558 555.037 -3.22528
71000 695.1 -283.586 555.35 -3.22534
72000 701.504 -239.416 555.389 -3.22396
73000 700.042 150.791 554.809 -3.22474
74000 699.646 -102.348 554.529 -3.22558
75000 699.25 -551.877 555.328 -3.2249
76000 698.966 85.6471 554.648 -3.22525
77000 700.598 -254.457 555.407 -3.22445
