# Time-averaged data for fix 2
# TimeStep c_mytemp c_mypress v_vmyvol v_avgEtotal
10010 1592.48 -2558.92 625.68 -2.88778
10020 1564.97 94.7498 625.645 -2.88799
10030 1546.58 679.291 625.613 -2.88834
10040 1489.07 739.549 625.599 -2.88871
10050 1378.39 1784.86 625.606 -2.88896
10060 1310.17 2070.88 625.647 -2.88891
10070 1419.24 -1453.84 625.72 -2.88852
10080 1660.24 -7451.04 625.77 -2.888
10090 1793.5 -9852.74 625.702 -2.88792
10100 1740.07 -6152.89 625.483 -2.8886
10110 1572.26 -638.688 625.173 -2.88972
10120 1397.52 4548.36 624.863 -2.89073
10130 1274.41 8991.69 624.641 -2.89127
10140 1277.07 8126.82 624.572 -2.89133
10150 1292.33 6520.62 624.647 -2.89095
10160 1194.66 6465.66 624.837 -2.89022
10170 1099.78 7955.73 625.141 -2.88911
10180 1254.45 4557.86 625.571 -2.88751
10190 1505.8 -1234.81 626.071 -2.88532
10200 1660.67 -4524.71 626.552 -2.8831
10210 1741.45 -8289.21 626.951 -2.88146
10220 1715.31 -9489.67 627.212 -2.88062
10230 1614.54 -7988.06 627.315 -2.88049
10240 1477.49 -2706.88 627.292 -2.88066
10250 1377.46 2206.38 627.228 -2.88075
10260 1338.75 5923.17 627.206 -2.88058
10270 1407.05 6872.19 627.287 -2.88012
10280 1500.01 4457.25 627.483 -2.87952
10290 1493.91 4410.33 627.762 -2.87896
10300 1425.89 4440.75 628.118 -2.87846
10310 1387.05 1758.5 628.544 -2.8779
10320 1401.9 764.452 629.002 -2.87717
10330 1484.33 -1892.15 629.467 -2.87631
10340 1550.29 -6266.65 629.895 -2.87546
10350 1543.66 -7480.76 630.217 -2.87478
10360 1533.7 -4158.81 630.418 -2.87431
10370 1602.89 -3585.05 630.544 -2.87404
10380 1628.01 -2276.28 630.614 -2.87403
10390 1543.51 1082.18 630.652 -2.87431
10400 1427.75 2085.29 630.71 -2.87461
10410 1488.71 149.874 630.804 -2.87477
10420 1617.74 -1412.69 630.904 -2.8749
10430 1683.69 -1240.27 630.987 -2.8753
10440 1691.07 707.985 631.057 -2.87612
10450 1670.99 3147.53 631.144 -2.87734
10460 1575.48 5951.74 631.291 -2.87878
10470 1388.24 9575.97 631.546 -2.8801
10480 1221.29 11658.5 631.966 -2.88093
10490 1207.32 12316.4 632.585 -2.88119
10500 1261.56 10547.7 633.408 -2.88092
10510 1287.42 8412.08 634.408 -2.88022
10520 1255.54 6703.64 635.546 -2.8792
10530 1137.74 5470.51 636.79 -2.87791
10540 996.616 6783.67 638.122 -2.87635
10550 1055.91 4204.58 639.552 -2.87439
10560 1396.24 -3889.87 641.031 -2.87143
10570 1709.65 -8929.41 642.43 -2.86776
10580 1807.7 -10884.5 643.657 -2.86466
10590 1669.51 -8049.26 644.685 -2.8628
10600 1522.96 -7642.77 645.553 -2.86181
10610 1471.42 -8860.29 646.272 -2.8611
10620 1435.51 -7136.09 646.83 -2.86044
10630 1448.89 -9788.38 647.247 -2.85976
10640 1462.18 -11899.9 647.485 -2.85906
10650 1414.08 -9368.7 647.515 -2.85839
10660 1415.6 -8336.58 647.378 -2.85768
10670 1550.94 -11193.3 647.089 -2.85692
10680 1715.97 -13546.4 646.607 -2.85642
10690 1709.85 -12314.7 645.901 -2.85654
10700 1598.59 -9318.14 644.992 -2.85717
10710 1505.99 -6579.08 643.935 -2.85795
10720 1446.07 -2005.54 642.789 -2.85857
10730 1394.72 1527.97 641.63 -2.85888
10740 1348.05 3008.47 640.521 -2.85888
10750 1321.42 5382.9 639.494 -2.8585
10760 1417.27 2671.51 638.576 -2.85784
10770 1493.42 -1168.03 637.726 -2.85708
10780 1545.89 -5752.95 636.874 -2.85645
10790 1508.11 -7356.93 635.946 -2.85607
10800 1438.34 -4099.92 634.919 -2.85574
10810 1539.92 -2682.38 633.839 -2.85535
10820 1623.59 -2130.32 632.736 -2.85508
10830 1527.28 3187.88 631.63 -2.85502
10840 1429 8781.85 630.604 -2.85491
10850 1479.43 9192.39 629.744 -2.85467
10860 1523.68 12531.2 629.07 -2.8544
10870 1514.82 14741.4 628.626 -2.8542
10880 1502.28 13812 628.444 -2.85413
10890 1467.17 12853.8 628.507 -2.85409
10900 1565.77 8408.22 628.791 -2.8541
10910 1675.92 1050.84 629.216 -2.85425
10920 1730.15 -2861.1 629.664 -2.85479
10930 1728.3 -2129.92 630.069 -2.85587
10940 1669.54 1155.67 630.442 -2.85738
10950 1566.88 4459.88 630.834 -2.85907
10960 1411.64 8175.04 631.305 -2.86059
10970 1275.61 9119.6 631.911 -2.86166
10980 1225.48 7509.07 632.669 -2.86214
10990 1285.12 1635.45 633.544 -2.86201
11000 1385.83 -2865.76 634.442 -2.86137
11010 1487.14 -5972.8 635.283 -2.86046
11020 1620.63 -8685.93 636.015 -2.85957
11030 1721.76 -12358.6 636.587 -2.85903
11040 1714.57 -14259.7 636.939 -2.8591
11050 1649.44 -11569.1 637.05 -2.85975
11060 1633.37 -12270.7 636.954 -2.86076
11070 1552.22 -10685.6 636.654 -2.86197
11080 1422.63 -5671.47 636.18 -2.86305
11090 1432.55 -5061.15 635.613 -2.8638
11100 1531.43 -4874.14 634.971 -2.86438
11110 1509.53 -3007.76 634.261 -2.86492
11120 1367.5 2610.68 633.522 -2.86532
11130 1266.1 7048.72 632.845 -2.86528
11140 1351.11 5046.93 632.295 -2.86483
11150 1452.58 3651.96 631.85 -2.86409
11160 1536.29 1968.64 631.479 -2.86331
11170 1663.05 -2471.22 631.149 -2.86275
11180 1661.54 -2716.19 630.795 -2.86263
11190 1537.48 -690.924 630.409 -2.86287
11200 1484.12 -279.528 630.02 -2.86318
11210 1526.19 -454.527 629.636 -2.86344
11220 1571.98 1877.71 629.261 -2.86371
11230 1616.99 2744.67 628.926 -2.86416
11240 1494.4 6507.71 628.655 -2.86475
11250 1294.87 11670.1 628.507 -2.86516
11260 1242.49 14358.9 628.566 -2.86515
11270 1355.4 10844.4 628.864 -2.86471
11280 1494.43 6026.71 629.347 -2.86399
11290 1539.11 4420.08 629.939 -2.86328
11300 1501.59 2384.09 630.603 -2.86274
11310 1400.44 2937.74 631.308 -2.86227
11320 1328.24 4852.83 632.063 -2.86172
11330 1370.09 2145.88 632.889 -2.86093
11340 1413.39 34.8427 633.747 -2.85989
11350 1426.88 -633.585 634.602 -2.85877
11360 1484.44 -2127.58 635.437 -2.8576
11370 1593.28 -3592.13 636.229 -2.85649
11380 1703.92 -4108.85 636.955 -2.85569
11390 1761.04 -5369.32 637.603 -2.85549
11400 1719.49 -3786.63 638.157 -2.856
11410 1576.63 207.323 638.647 -2.85696
11420 1432.86 1801.93 639.135 -2.85792
11430 1345.74 2820.36 639.653 -2.85859
11440 1235.83 4975.78 640.222 -2.85882
11450 1230.62 4709.55 640.871 -2.85856
11460 1344.21 1499.75 641.596 -2.85779
11470 1578.38 -5398.24 642.338 -2.85668
11480 1675.22 -11086.6 642.98 -2.85565
11490 1601.52 -11980.3 643.427 -2.85515
11500 1471.37 -9199.57 643.663 -2.85501
11510 1399.35 -7125.5 643.734 -2.85486
11520 1413.11 -7015.85 643.677 -2.85458
11530 1349.23 -3211.57 643.505 -2.85412
11540 1271.05 959.484 643.284 -2.85342
11550 1354.94 -1169.55 643.078 -2.8524
11560 1447.14 -582.995 642.864 -2.85114
11570 1432.24 3967.16 642.654 -2.84986
11580 1365.28 7560.87 642.523 -2.8486
11590 1388.69 5092.49 642.525 -2.84731
11600 1449.57 5269.73 642.628 -2.84591
11610 1560.72 5472.46 642.83 -2.84456
11620 1650.42 2349.57 643.128 -2.84347
11630 1654.61 1662.28 643.475 -2.84283
11640 1671.5 -1000.08 643.849 -2.8427
11650 1639.35 -2616.55 644.209 -2.84298
11660 1583.92 -4600.98 644.521 -2.84355
11670 1494.66 -4132.18 644.756 -2.84421
11680 1385.96 -3186.88 644.918 -2.84473
11690 1298.3 -2880.95 645.024 -2.84492
11700 1219.21 -1845.74 645.084 -2.84468
11710 1218.71 -3838.37 645.108 -2.84398
11720 1245.09 -3758.03 645.071 -2.84282
11730 1338.37 -5389.6 644.968 -2.84129
11740 1426.8 -8333.07 644.771 -2.83954
11750 1445.48 -7228.64 644.438 -2.83782
11760 1476.23 -5079.32 643.986 -2.83621
11770 1508.9 -2986.47 643.456 -2.83473
11780 1573.24 -2246.54 642.883 -2.83344
11790 1623.31 -2689.03 642.283 -2.83245
11800 1709.6 -5742.16 641.644 -2.83194
11810 1772.02 -6750.56 640.923 -2.83206
11820 1812.6 -7544.31 640.099 -2.83298
11830 1784.19 -7270.73 639.162 -2.83465
11840 1679.37 -7202.03 638.116 -2.83682
11850 1520.9 -1844.87 636.975 -2.83894
11860 1509.02 1982.51 635.822 -2.84063
11870 1655.21 -64.1315 634.719 -2.84225
11880 1697.65 66.4785 633.643 -2.84412
11890 1591.45 3264.67 632.596 -2.84613
11900 1442.98 6702.23 631.629 -2.84784
11910 1400.33 7140.19 630.794 -2.84906
11920 1499.23 7094.54 630.101 -2.84996
11930 1613.06 6042.94 629.544 -2.85082
11940 1596.67 6596.81 629.11 -2.85187
11950 1347.1 9203.21 628.802 -2.85285
11960 1069.39 15711.8 628.672 -2.85322
11970 1184.38 12137.5 628.802 -2.85293
11980 1516.82 3348.6 629.134 -2.85202
11990 1655.05 1014.46 629.536 -2.85103
12000 1649.87 1094.79 629.959 -2.85053
12010 1531.81 2664.34 630.403 -2.85043
12020 1464.84 3543.52 630.892 -2.85047
12030 1497.11 4813.91 631.442 -2.85047
12040 1582.37 4568.42 632.071 -2.8505
12050 1669.61 1198.09 632.773 -2.85072
12060 1762.79 -4338.85 633.488 -2.85133
12070 1777.87 -6648.12 634.131 -2.85253
12080 1679.46 -5425.61 634.659 -2.85423
12090 1551.03 -2420.7 635.094 -2.85607
12100 1407.34 874.805 635.487 -2.85766
12110 1339.66 3422.99 635.895 -2.85876
12120 1413.2 130.748 636.352 -2.8594
12130 1575.93 -5960.55 636.807 -2.8598
12140 1727.58 -11932.4 637.156 -2.86034
12150 1796.22 -13371.6 637.303 -2.86146
12160 1778.48 -12703.3 637.22 -2.8633
12170 1621.9 -8334.33 636.926 -2.86554
12180 1384.16 -379.272 636.501 -2.8675
12190 1221.21 5704.61 636.078 -2.86867
12200 1269.63 4378.9 635.755 -2.86914
12210 1378.83 2943.83 635.518 -2.86911
12220 1498.66 1884.85 635.343 -2.86883
12230 1622.46 -3756.11 635.2 -2.86861
12240 1559.46 -1879.8 635.014 -2.86865
12250 1422.74 434.01 634.801 -2.86879
12260 1370.54 156.482 634.601 -2.86876
12270 1404.65 -1531.29 634.411 -2.86847
12280 1538.9 -9143.41 634.192 -2.86805
12290 1663.09 -14366 633.826 -2.86781
12300 1742.44 -15090.6 633.226 -2.86809
12310 1807.29 -14808.3 632.379 -2.86912
12320 1767.41 -9443.76 631.304 -2.87085
12330 1739.52 -5820.39 630.084 -2.873
12340 1757.06 -5884.82 628.785 -2.87553
12350 1688.45 -4769.19 627.415 -2.87836
12360 1537 -848.513 625.994 -2.88107
12370 1347.07 5783.26 624.594 -2.88306
12380 1231.27 8684.25 623.313 -2.88418
12390 1190.98 12978.4 622.207 -2.8845
12400 1266.95 13686.8 621.337 -2.88417
12410 1408.03 8998.09 620.707 -2.88349
12420 1478.87 5926.99 620.245 -2.88269
12430 1522.81 2823.28 619.895 -2.88196
12440 1535.42 312.407 619.603 -2.88138
12450 1492.33 812.151 619.33 -2.88096
12460 1448.04 3274.55 619.084 -2.88058
12470 1459.62 3837.15 618.897 -2.88015
12480 1546.94 3600.92 618.783 -2.87969
12490 1659.54 2471.78 618.734 -2.87941
12500 1719.34 402.278 618.732 -2.87955
12510 1694.74 -1764.49 618.742 -2.88024
12520 1598.51 -155.619 618.734 -2.88126
12530 1590.07 1474.22 618.729 -2.88241
12540 1613.22 1695.18 618.752 -2.88363
12550 1618.7 5223.55 618.815 -2.88499
12560 1566.41 8621.24 618.97 -2.88646
12570 1397.3 10135.1 619.268 -2.8878
12580 1163.84 12015.6 619.737 -2.88864
12590 1045.04 14079.7 620.407 -2.8888
12600 1156.81 11288.5 621.301 -2.8883
12610 1334.43 6146.86 622.373 -2.8871
12620 1509.04 852.023 623.542 -2.88547
12630 1606.59 -4423.81 624.714 -2.88379
12640 1586.92 -5919.06 625.809 -2.88249
12650 1498.91 -5218.39 626.797 -2.88157
12660 1395.61 -3930.55 627.69 -2.88083
12670 1353.55 -4571.5 628.505 -2.88003
12680 1330.72 -5021.92 629.236 -2.87903
12690 1386.91 -6558.68 629.874 -2.8778
12700 1562.8 -8823.61 630.395 -2.87643
12710 1733.52 -10314.9 630.762 -2.87527
12720 1754.81 -8778.23 630.956 -2.87482
12730 1599.09 -3687.6 631.007 -2.87508
12740 1359.58 3810.38 631.002 -2.87548
12750 1205.11 9384.49 631.066 -2.87555
12760 1171.76 12660.2 631.294 -2.87511
12770 1263.57 10725.5 631.734 -2.87419
12780 1405.99 7648.19 632.358 -2.87285
12790 1484.65 4600.24 633.113 -2.87136
12800 1479.25 995.375 633.941 -2.86994
12810 1396.82 2463.28 634.791 -2.86868
12820 1356.78 5169.95 635.679 -2.8675
12830 1334.98 5993.15 636.649 -2.86625
12840 1249.68 8752.06 637.72 -2.86493
12850 1174.93 11319 638.938 -2.86352
12860 1243.98 10430.9 640.342 -2.86185
12870 1399.99 7140.84 641.917 -2.85976
12880 1557.06 1315.78 643.601 -2.85741
12890 1636.72 -4003.99 645.295 -2.85518
12900 1584.61 -3837.67 646.912 -2.85345
12910 1475.85 -505.406 648.448 -2.85229
12920 1433.22 822.949 649.959 -2.85138
12930 1456.83 97.3195 651.468 -2.85047
12940 1489.64 1473.13 652.97 -2.84959
12950 1516.5 -671.579 654.48 -2.84879
12960 1560.36 -5252.31 655.96 -2.84804
12970 1561.44 -6884.36 657.335 -2.8474
12980 1583.75 -8010.44 658.567 -2.84698
12990 1610.28 -7034.48 659.642 -2.84683
13000 1566.8 -3384.8 660.58 -2.84699
13010 1519.89 -1394.23 661.444 -2.84731
13020 1595.23 -3042.41 662.268 -2.84771
13030 1537.11 -928.753 663.038 -2.84822
13040 1401.91 1467.68 663.784 -2.84872
13050 1371.51 1125.66 664.548 -2.84897
13060 1455.18 -518.694 665.328 -2.84893
13070 1543.1 -1735.46 666.093 -2.84876
13080 1582.82 -2868.67 666.82 -2.8487
13090 1493.06 -1965.26 667.489 -2.8488
13100 1290.76 1631.05 668.123 -2.84886
13110 1128.47 1055.27 668.777 -2.84855
13120 1070.15 -1588.9 669.445 -2.84768
13130 1129.27 -7679.3 670.07 -2.84615
13140 1289.54 -13151.2 670.542 -2.84397
13150 1576.34 -17777.1 670.755 -2.84139
13160 1687.47 -18857.6 670.628 -2.83906
13170 1605.13 -14509.3 670.151 -2.83758
13180 1475.98 -11010 669.401 -2.83671
13190 1344.8 -7342.76 668.455 -2.836
13200 1246.41 -677.278 667.392 -2.83506
13210 1313.83 903.373 666.33 -2.83374
13220 1472.59 -1338.95 665.3 -2.83213
13230 1556.48 -704.045 664.273 -2.83055
13240 1521.02 148.296 663.255 -2.82925
13250 1426.34 411.914 662.261 -2.82821
13260 1382.27 938.956 661.298 -2.82719
13270 1453.64 -1977.63 660.368 -2.82611
13280 1518.01 -4804.62 659.421 -2.82508
13290 1509.39 -3015.2 658.412 -2.82421
13300 1478.89 -2730.89 657.365 -2.82348
13310 1464.06 -983.195 656.292 -2.82282
13320 1414.1 1786.69 655.226 -2.8221
13330 1482.13 1689.16 654.212 -2.82128
13340 1666.44 -2966.38 653.243 -2.82058
13350 1711.58 -3286.38 652.249 -2.82035
13360 1683.7 -991.872 651.222 -2.82066
