# Time-averaged data for fix 2
# TimeStep c_mytemp c_mypress v_vmyvol v_avgEtotal
10 1269.59 1253.39 625.427 -2.90819
20 1191.43 1682.44 625.46 -2.90816
30 1111.33 1662.95 625.529 -2.90797
40 1066.28 1344.03 625.635 -2.9075
50 1109.98 2489.08 625.774 -2.90673
60 1194.46 1366.73 625.959 -2.9057
70 1324.23 -881.949 626.172 -2.90459
80 1349.98 -1709.89 626.371 -2.90366
90 1294.02 -3476.86 626.536 -2.90303
100 1315.34 -9545.2 626.627 -2.90257
110 1428.66 -14740.5 626.531 -2.90232
120 1586.96 -17496.3 626.151 -2.90263
130 1714.23 -18766.3 625.437 -2.904
140 1677.25 -15385.3 624.378 -2.90665
150 1461.86 -7038.12 623.05 -2.90984
160 1234.87 465.177 621.614 -2.91248
170 1165.21 4593.2 620.218 -2.91428
180 1213.75 5665.64 618.941 -2.91555
190 1238.69 6883.25 617.806 -2.91649
200 1255.5 7751.97 616.833 -2.9172
210 1318.55 7754.02 616.034 -2.91781
220 1407.1 7299.36 615.407 -2.9185
230 1427.03 6194.39 614.937 -2.91946
240 1390.44 5255.48 614.602 -2.92067
250 1357.05 5021.05 614.383 -2.92197
260 1397.21 1516.84 614.264 -2.92334
270 1413.2 -184.679 614.185 -2.92488
280 1332.79 1782.39 614.116 -2.92646
290 1286.03 661.603 614.083 -2.92792
300 1231.95 2718.61 614.075 -2.92914
310 1228.34 4716.66 614.124 -2.93008
320 1278.7 3819.38 614.264 -2.93083
330 1300.47 2668.99 614.478 -2.93151
340 1240.74 3940.24 614.752 -2.93212
350 1254.97 2473.79 615.097 -2.93259
360 1272.17 1873.03 615.491 -2.93296
370 1241.96 924.775 615.919 -2.93326
380 1145.49 1878.48 616.366 -2.93341
390 1083.78 5486.69 616.853 -2.93329
400 1205.27 4274.06 617.434 -2.93287
410 1437.81 747.186 618.091 -2.9323
420 1557.57 -710.05 618.761 -2.93211
430 1513.74 324.345 619.417 -2.93269
440 1353.73 1767.74 620.076 -2.93376
450 1180.86 4675.72 620.767 -2.93478
460 1098.6 6800.1 621.543 -2.93546
470 1107.17 5606.36 622.44 -2.93573
480 1149.15 2089.34 623.436 -2.93561
490 1205.82 -3079.7 624.46 -2.93516
500 1271.52 -7992.15 625.413 -2.9345
510 1326.25 -12040.4 626.196 -2.93383
520 1332.79 -13462.6 626.735 -2.93335
530 1313.4 -13583.5 627.003 -2.93312
540 1305.63 -14319.4 626.998 -2.93308
550 1269.86 -13406.3 626.712 -2.93318
560 1150.92 -8116.46 626.176 -2.93328
570 1031.54 -4588.54 625.488 -2.9331
580 979.678 -2532.3 624.723 -2.93252
590 1011.98 -1005.71 623.924 -2.93147
600 1145.23 -2288.62 623.119 -2.93
610 1247.77 -2017 622.291 -2.9283
620 1327.46 -555.235 621.445 -2.92665
630 1409.94 -1376.5 620.604 -2.92528
640 1342.77 1819.5 619.765 -2.92437
650 1206.93 7139.64 618.985 -2.9237
660 1152.83 9409.92 618.358 -2.92302
670 1115.29 12682.5 617.934 -2.92219
680 1101.44 14912.2 617.767 -2.92121
690 1076.61 16279.5 617.898 -2.92009
700 1091.43 17079.8 618.349 -2.91888
710 1213.1 12855.8 619.123 -2.9175
720 1295.5 9087.58 620.146 -2.91606
730 1310.08 5636.59 621.337 -2.91478
740 1254.68 3046.78 622.63 -2.91372
750 1226.49 1726.53 623.974 -2.9128
760 1271.33 -965.908 625.333 -2.91187
770 1275.74 -1526.12 626.664 -2.91096
780 1316.01 -1115.27 627.954 -2.9102
790 1374.29 -1624.87 629.204 -2.9096
800 1440.53 -1256.35 630.413 -2.90935
810 1388.69 -928.089 631.583 -2.9095
820 1230.48 843.308 632.728 -2.90988
830 1205.03 -4949.45 633.865 -2.9101
840 1257.12 -12144.8 634.886 -2.91
850 1293.06 -16662.5 635.651 -2.90981
860 1298.25 -19934 636.067 -2.90971
870 1331.55 -22057.8 636.071 -2.90983
880 1393.71 -22130.4 635.628 -2.91027
890 1450.88 -21412.7 634.742 -2.91118
900 1437.65 -18623.7 633.441 -2.9126
910 1360.55 -14225.8 631.79 -2.91428
920 1309.56 -12799 629.881 -2.91592
930 1309.02 -10594.8 627.757 -2.9175
940 1340.47 -5124.93 625.473 -2.91887
950 1442.09 -2097.67 623.134 -2.92013
960 1592.81 -1610.58 620.801 -2.92177
970 1601.8 1342.55 618.496 -2.92408
980 1471.58 6733.94 616.273 -2.92667
990 1317.5 10546.4 614.231 -2.92895
1000 1203.22 11954.7 612.433 -2.9307
1010 1163.92 12261.4 610.904 -2.93189
1020 1250.3 11059.8 609.64 -2.93276
1030 1366.22 9854.64 608.615 -2.93358
1040 1406.46 10778.5 607.805 -2.93459
1050 1300.33 13508.6 607.222 -2.9357
1060 1153.94 15930 606.909 -2.93663
1070 1077.9 18859 606.907 -2.93719
1080 1106.73 18841.3 607.261 -2.93742
1090 1228.64 15468 607.964 -2.93743
1100 1291.25 11767.1 608.954 -2.93734
1110 1289.99 8921.04 610.159 -2.93731
1120 1238.36 8085.8 611.527 -2.93733
1130 1169.98 8731.2 613.036 -2.93732
1140 1137.67 9786.11 614.699 -2.93719
1150 1197.75 7613.93 616.527 -2.93689
1160 1209 3690 618.481 -2.93634
1170 1198.98 1933.74 620.489 -2.93565
1180 1189.14 1352.55 622.516 -2.93486
1190 1280.32 -2430.57 624.54 -2.93393
1200 1402.74 -7260.15 626.491 -2.93291
1210 1454.09 -8740.07 628.28 -2.93216
1220 1389.19 -7579.75 629.878 -2.93193
1230 1253.54 -6297.19 631.305 -2.93202
1240 1139.3 -6380.47 632.584 -2.93204
1250 1127.76 -6055.61 633.72 -2.93179
