# Time-averaged data for fix 4
# TimeStep c_mytemp c_mypress v_vmyvol v_avgEtotal
10 872.804 7309.96 567.268 -3.12714
20 861.381 10564 566.277 -3.12687
30 835.23 13004.3 565.525 -3.12633
40 832.298 12902.3 565.057 -3.12559
50 890.188 10734.4 564.865 -3.12468
60 1002.95 7657.75 564.903 -3.12363
70 1134.68 3114.2 565.101 -3.12265
80 1199.87 903.331 565.371 -3.12206
90 1142.53 1694.76 565.669 -3.12205
100 1009.65 3265.55 566.003 -3.12238
110 944.236 4282.15 566.407 -3.1227
120 1031.75 1125.3 566.891 -3.12289
130 1194.99 -3191.71 567.396 -3.12315
140 1281.57 -6003.9 567.834 -3.12393
150 1199.37 -2722.03 568.157 -3.12536
160 1008.14 2976.34 568.429 -3.12696
170 850.754 6334.12 568.761 -3.12816
180 821.472 6063.88 569.22 -3.12887
190 886.608 3487.32 569.801 -3.12916
200 964.983 856.366 570.453 -3.12916
210 1002.35 -1013.84 571.12 -3.12906
220 993.078 -2381.91 571.763 -3.12894
230 959.041 -3419.51 572.351 -3.12881
240 914.546 -3664.33 572.865 -3.12859
250 883.592 -3905.45 573.298 -3.12824
260 903.027 -6235.1 573.641 -3.1277
270 989.936 -9054.47 573.85 -3.12701
280 1097.36 -11161.9 573.866 -3.12636
290 1147.22 -12019.7 573.65 -3.12605
300 1125.86 -11684.4 573.187 -3.1262
310 1088.07 -9841.14 572.488 -3.1267
320 1086.59 -8312.67 571.595 -3.12738
330 1091.89 -6503.74 570.544 -3.12823
340 1075.56 -2957.48 569.382 -3.12914
350 1048.88 197.788 568.18 -3.13005
360 1007.85 3482.43 567.007 -3.13085
370 964.437 7001.18 565.934 -3.13145
380 943.155 7279.53 565.022 -3.13185
390 948.897 7451.58 564.281 -3.13207
400 979.124 7634.32 563.712 -3.13217
410 990.609 7201.14 563.313 -3.13222
420 949.669 8508.78 563.078 -3.13225
430 867.139 10169.8 563.028 -3.13218
440 785.198 9704.91 563.189 -3.1319
450 763.655 10208 563.556 -3.13135
460 931.209 6172.56 564.126 -3.13044
470 1206.09 -919.591 564.814 -3.12925
480 1380.01 -6908.78 565.482 -3.12851
490 1332.25 -8577.39 566.011 -3.12891
500 1133.55 -5064.85 566.369 -3.13014
510 941.691 -1165.52 566.622 -3.13136
520 876.684 1232.59 566.849 -3.13221
530 897.245 1164.86 567.099 -3.1327
540 891.268 800.782 567.374 -3.1329
550 860.899 925.216 567.667 -3.13283
560 893.916 -876.961 567.976 -3.13251
570 983.253 -2220.75 568.268 -3.13199
580 1054.12 -2277.76 568.516 -3.13145
590 1067.18 -2344.04 568.717 -3.13109
600 1061.36 -3027.41 568.87 -3.13093
610 1079.88 -4680.45 568.961 -3.13096
620 1107.42 -5507.2 568.958 -3.1312
630 1097.46 -4565.26 568.847 -3.13168
640 1024.81 -2200.45 568.649 -3.13232
650 899.47 2039.51 568.417 -3.13284
660 806.399 5842.68 568.234 -3.13303
670 839.029 5677.41 568.174 -3.13285
680 963.693 3234.68 568.236 -3.13238
690 1071.9 512.881 568.368 -3.13183
700 1106.39 -1167.79 568.517 -3.13147
710 1077.53 -618.971 568.648 -3.13142
720 1023.16 1899.71 568.774 -3.13156
730 970.791 3565.75 568.941 -3.13174
740 934.738 3872.91 569.185 -3.13184
750 911.589 2151.09 569.507 -3.13178
760 908.775 42.1608 569.875 -3.13155
770 946.065 -2585.13 570.242 -3.13113
780 1021.65 -4842.5 570.554 -3.13063
790 1094.7 -6305.63 570.766 -3.13021
800 1112.33 -4725.65 570.851 -3.13008
810 1072.8 -2477.42 570.842 -3.13023
820 1013.41 -2418.41 570.78 -3.13054
830 935.331 -1580.18 570.675 -3.13081
840 889.908 -1737.81 570.54 -3.1309
850 916.935 -2760.89 570.374 -3.13077
860 994.986 -3280.45 570.156 -3.13048
870 1062.79 -2927 569.879 -3.1302
880 1058.88 -2101.39 569.549 -3.13009
890 985.392 615.493 569.189 -3.13011
900 904.928 2820.53 568.851 -3.13008
910 892.342 3141.56 568.579 -3.12985
920 974.846 1451.1 568.377 -3.12945
930 1092.79 18.0484 568.215 -3.12903
940 1136.75 -325.096 568.063 -3.12886
950 1057.37 1384.24 567.914 -3.12902
960 921.457 5778.84 567.809 -3.12925
970 888.21 7455.85 567.825 -3.1293
980 960.686 5827.16 567.997 -3.12916
990 1028.17 4968.98 568.296 -3.12894
1000 1049.17 2293.51 568.697 -3.12879
1010 1077.46 -2403.5 569.142 -3.12877
1020 1105.62 -4036.43 569.543 -3.12892
1030 1104.81 -4399.46 569.859 -3.12932
1040 1055.17 -4007.84 570.085 -3.1299
1050 978.136 -2603.13 570.23 -3.13051
1060 919.486 -2277.22 570.32 -3.13095
1070 924.184 -2353.58 570.364 -3.13117
1080 984.962 -2371.9 570.363 -3.13121
1090 1034.12 -3233.6 570.315 -3.13122
1100 1022.7 -3426.98 570.204 -3.1313
1110 981.69 -1803.59 570.032 -3.1314
1120 1014.63 -1822.51 569.825 -3.13147
1130 1125.59 -4970.15 569.581 -3.13161
1140 1193.08 -5850.69 569.245 -3.1321
1150 1135.98 -3939.22 568.802 -3.13302
1160 973.213 1215.41 568.293 -3.13402
1170 821.912 6230.88 567.822 -3.13465
1180 777.635 7752.57 567.487 -3.13481
1190 843.079 7073.08 567.32 -3.13457
1200 950.704 4392.07 567.305 -3.13404
1210 1014.29 2634 567.389 -3.13342
1220 1029.5 723.97 567.531 -3.13289
1230 1029.27 494.09 567.696 -3.13249
1240 1064.91 44.1075 567.872 -3.13223
1250 1108.31 -1321.63 568.051 -3.13216
1260 1114.72 -2462.04 568.206 -3.13236
1270 1068.26 -1956.01 568.315 -3.13281
1280 970.672 859.829 568.39 -3.13332
1290 859.212 3550.99 568.487 -3.13366
1300 808.717 4141.17 568.659 -3.13367
1310 861.256 2393.76 568.916 -3.13334
1320 977.881 -2020.11 569.219 -3.13272
1330 1088.97 -5885.97 569.481 -3.13205
1340 1150.61 -7091.56 569.624 -3.13165
1350 1145.97 -5413.4 569.627 -3.13169
1360 1076.48 -3574.08 569.52 -3.13209
1370 968.459 -254.689 569.348 -3.13257
1380 931.895 285.969 569.172 -3.1329
1390 959.154 274.224 569.008 -3.13305
1400 976.505 1599.17 568.86 -3.13309
1410 963.565 3312.67 568.753 -3.13306
1420 939.167 4174.69 568.721 -3.13295
1430 907.548 4059.11 568.781 -3.13274
1440 877.364 3021.46 568.928 -3.13237
1450 879.117 1593.36 569.141 -3.13182
1460 931.357 -1648.94 569.385 -3.13108
1470 933.322 -3130.17 569.6 -3.13024
1480 916.69 -3407.34 569.752 -3.12936
1490 990.924 -4479.48 569.833 -3.12844
1500 1149.62 -7190.21 569.819 -3.12756
1510 1257.87 -8237.3 569.662 -3.12714
1520 1210.19 -5236.15 569.345 -3.12746
1530 1051.93 76.4647 568.933 -3.12821
1540 902.126 4926.98 568.533 -3.12886
1550 845.879 6680.25 568.241 -3.12916
1560 891.185 4810.06 568.092 -3.12914
1570 997.918 1750.45 568.049 -3.12892
1580 1080.22 818.212 568.053 -3.1287
1590 1064.71 1641.3 568.082 -3.12868
1600 971.5 1989.81 568.15 -3.12879
1610 905.398 1623.18 568.262 -3.12883
1620 914.449 253.891 568.409 -3.12868
1630 933.986 224.501 568.567 -3.12837
1640 916.914 1228.85 568.734 -3.12794
1650 874.174 2914.26 568.931 -3.12742
1660 827.602 5045.77 569.191 -3.12675
1670 797.675 6864.92 569.559 -3.1259
1680 801.805 7277.59 570.069 -3.12485
1690 850.26 5679.31 570.728 -3.12356
1700 934.08 1151.87 571.498 -3.12204
1710 1034.81 -2579.59 572.289 -3.12039
1720 1118.28 -5787.09 573.021 -3.11889
1730 1154.05 -9034.36 573.624 -3.1178
1740 1132.86 -9903.04 574.036 -3.11724
1750 1073.72 -10002 574.236 -3.11713
1760 1030.87 -9961.89 574.223 -3.11726
1770 1040.84 -11078.3 573.998 -3.1175
1780 1086.57 -12740.3 573.543 -3.11788
1790 1137.1 -12782.4 572.828 -3.11855
1800 1175.54 -10897.7 571.861 -3.11956
1810 1205.86 -8981.5 570.681 -3.12099
1820 1172.5 -4271.97 569.341 -3.12274
1830 1073 584.119 567.938 -3.1245
1840 961.908 5799.11 566.578 -3.12591
1850 906.059 8304.24 565.36 -3.12684
1860 915.523 10057.9 564.339 -3.1274
1870 930.396 11943.5 563.548 -3.12771
1880 897.7 13565.6 563.021 -3.12782
1890 838.975 14693.9 562.786 -3.12775
1900 795.442 14841.8 562.862 -3.12746
1910 818.594 13221.8 563.245 -3.12693
1920 897.345 10700.6 563.899 -3.12614
1930 1006.08 7705.72 564.771 -3.12519
1940 1134.25 3843.99 565.796 -3.12427
1950 1253.09 -856.854 566.892 -3.12368
1960 1298.84 -4804.99 567.964 -3.12377
1970 1247.1 -5958.59 568.933 -3.12465
1980 1116.56 -4808.33 569.774 -3.12599
1990 963.587 -3773.11 570.507 -3.1273
2000 848.964 -3329.49 571.154 -3.12821
2010 851.831 -3989.47 571.724 -3.12865
2020 984.877 -7985.05 572.197 -3.12877
2030 1086.11 -9232.4 572.505 -3.12884
2040 1112.54 -8589.27 572.619 -3.12914
2050 1083.15 -6572.75 572.555 -3.12969
2060 1035.9 -4154.87 572.358 -3.13036
2070 1007.31 -3991.11 572.075 -3.13101
2080 1001.42 -4742.35 571.715 -3.13161
2090 996.771 -4834.63 571.266 -3.13213
2100 972.015 -4327.74 570.726 -3.13258
2110 928.037 -3079.58 570.108 -3.1329
2120 891.201 -487.294 569.442 -3.13299
2130 901.085 1112.25 568.778 -3.13282
2140 968.26 1141.71 568.15 -3.13246
2150 1073.95 -1536.56 567.555 -3.13208
2160 1152.17 -3609.57 566.943 -3.13193
2170 1137.87 -3273.88 566.275 -3.1322
2180 1042.65 298.185 565.56 -3.13273
2190 915.162 6385.24 564.873 -3.13317
2200 814.584 10647.1 564.33 -3.13328
2210 782.601 11923.9 564.016 -3.13304
2220 837.442 10513.3 563.953 -3.13249
2230 969.96 6427.44 564.109 -3.13167
2240 1122.91 3046.51 564.403 -3.13079
2250 1214.07 1107.9 564.764 -3.13025
2260 1182.71 -266.153 565.15 -3.13032
2270 1070.76 -829.206 565.532 -3.13081
2280 981.35 -412.135 565.899 -3.13138
2290 954.135 643.267 566.258 -3.13182
2300 951.394 1287.7 566.63 -3.13211
2310 904.435 2282.13 567.029 -3.13224
2320 842.932 3281.16 567.475 -3.13216
2330 855.546 3161.89 567.987 -3.13182
2340 971.26 979.266 568.558 -3.13121
2350 1105.36 -1381.29 569.148 -3.13053
2360 1172.43 -3606.16 569.706 -3.13011
2370 1160.44 -5233.82 570.187 -3.13017
2380 1089.39 -4648.5 570.56 -3.13062
2390 982.013 -2460.18 570.837 -3.1312
2400 883.654 -203.898 571.063 -3.13161
2410 860.653 -220.354 571.282 -3.13174
2420 862.597 245.608 571.499 -3.13157
2430 892.964 -0.475011 571.72 -3.13114
2440 958.011 -806.069 571.942 -3.13053
2450 1039.47 -2167.19 572.147 -3.12987
2460 1081.21 -3387.47 572.309 -3.12934
2470 1050.94 -4984.26 572.4 -3.12906
2480 951.182 -3640.33 572.395 -3.12894
2490 867.688 -2703.49 572.315 -3.12875
2500 886.459 -3315.99 572.18 -3.12835
2510 980.206 -5217.54 571.978 -3.12776
2520 1064 -6975.97 571.673 -3.12717
2530 1090.39 -7346.28 571.23 -3.12681
2540 1066.63 -5133.16 570.649 -3.12672
