# Time-averaged data for fix 2
# TimeStep c_mytemp c_mypress v_vmyvol v_avgEtotal
10 999.277 -1800.97 573.115 -3.11643
20 1016.23 -3891 573.078 -3.11637
30 1084.26 -6843.02 572.963 -3.11633
40 1181.86 -10202.5 572.712 -3.11649
50 1259.74 -10545.5 572.266 -3.11711
60 1292.69 -10458.8 571.615 -3.11839
70 1213.53 -7593.19 570.771 -3.1202
80 1035.4 -1048.36 569.801 -3.12198
90 911.226 3802.27 568.832 -3.12321
100 901.347 4865.22 567.957 -3.12393
110 944.606 5322.26 567.205 -3.1243
120 1002.19 4195.07 566.578 -3.12447
130 1040.87 4212 566.056 -3.12458
140 1050.05 5382.98 565.637 -3.1247
150 1018.84 6772.5 565.341 -3.12486
160 970.464 8689.35 565.195 -3.12497
170 964.831 7166.34 565.226 -3.12498
180 997.472 4873.99 565.406 -3.12488
190 1027.31 4289.48 565.689 -3.12474
200 1023.85 4808.13 566.062 -3.12462
210 1000.78 6175.5 566.532 -3.12454
220 997.579 7088.75 567.125 -3.12445
230 1049.97 4550.18 567.85 -3.12434
240 1107.04 1981.78 568.663 -3.12429
250 1081.86 -14.7006 569.509 -3.12439
260 970.364 274.347 570.349 -3.12456
270 864.264 651.513 571.187 -3.1246
280 875.774 -2146.28 572.022 -3.12432
290 974.267 -4865.53 572.803 -3.12372
300 1063.78 -7169.34 573.475 -3.12301
310 1068.14 -7962.28 573.993 -3.12242
320 1006.23 -6711.52 574.344 -3.12202
330 959.515 -5489.97 574.553 -3.12167
340 996.256 -5898 574.645 -3.12126
350 1107.32 -9588.42 574.61 -3.12085
360 1215.13 -13407 574.38 -3.12073
370 1222.53 -14081.3 573.883 -3.1212
380 1096.33 -10691.3 573.114 -3.12214
390 925.517 -4384.82 572.147 -3.12299
400 862.143 169.562 571.109 -3.12338
410 946.121 1525.62 570.093 -3.12338
420 1047.44 1053.57 569.129 -3.1232
430 1071.7 1269.01 568.211 -3.12307
440 1027.25 4521.81 567.347 -3.12302
450 975.955 7213.15 566.596 -3.12294
460 933.31 9023.01 566.009 -3.12275
470 904.361 10760 565.621 -3.12239
480 983.002 8240.03 565.457 -3.12188
490 1137.3 2747.26 565.461 -3.12135
500 1253.73 -757.478 565.531 -3.12112
510 1280.67 -1749.25 565.595 -3.12155
520 1212.37 -919.519 565.63 -3.1226
530 1069.22 1656.12 565.656 -3.1239
540 915.829 5812.42 565.723 -3.12497
550 842.677 7317.26 565.907 -3.12561
560 887.417 5972.65 566.236 -3.12584
570 997.579 2918.87 566.684 -3.12578
580 1087.83 -171.612 567.188 -3.12563
590 1121.29 -1672.76 567.689 -3.12561
600 1100.06 -1354.54 568.157 -3.12582
610 1054.18 -552.672 568.595 -3.12618
620 1010.61 -144.356 569.02 -3.12655
630 992.998 -25.1052 569.439 -3.12683
640 1007.61 -943.612 569.854 -3.12701
650 1041.36 -1493.48 570.248 -3.12713
660 1040.13 -1245.85 570.612 -3.12727
670 959.75 96.5138 570.951 -3.1274
680 847.194 649.039 571.29 -3.12736
690 811.582 -281.954 571.639 -3.12702
700 895.175 -1882.05 571.979 -3.12631
710 1033.59 -3657.85 572.278 -3.12535
720 1108.63 -4975.35 572.503 -3.12442
730 1083.46 -4890.99 572.628 -3.12377
740 1026.12 -4069.55 572.655 -3.12337
750 1014.67 -4107.71 572.6 -3.12307
760 1051.09 -4227.64 572.465 -3.1228
770 1047.22 -2045.38 572.253 -3.12262
780 933.332 1081.21 572.009 -3.12248
790 775.664 4189.73 571.796 -3.12218
800 719.74 5568.7 571.675 -3.12154
810 846.584 2609.65 571.667 -3.12048
820 1064.76 -1924.95 571.715 -3.11899
830 1197.85 -3958.41 571.731 -3.11755
840 1151.48 -2556.98 571.677 -3.11666
850 998.425 663.661 571.579 -3.11623
860 892.806 3421.1 571.501 -3.11587
870 932.218 3215.37 571.494 -3.11533
880 1052.23 967.301 571.555 -3.11464
890 1136.33 -1804.83 571.639 -3.11404
900 1142.98 -3344.18 571.693 -3.11375
910 1130.03 -3691.51 571.683 -3.11381
920 1139.53 -4047.09 571.602 -3.11415
930 1128.11 -3108.06 571.446 -3.11474
940 1056.72 -1180.62 571.235 -3.11546
950 990.578 -975.857 571.005 -3.11611
960 1021.73 -2701.48 570.76 -3.11661
970 1126.93 -4945.79 570.466 -3.11711
980 1184.85 -5591.49 570.083 -3.11786
990 1116.49 -1975.5 569.603 -3.11889
1000 992.638 2793.09 569.098 -3.11986
1010 914.996 4734.97 568.659 -3.12052
1020 923.329 3878.81 568.323 -3.12087
1030 987.23 1951.45 568.075 -3.12099
1040 1043.09 2149.43 567.88 -3.12101
1050 1078.62 917.55 567.734 -3.12107
1060 1106.11 695.093 567.617 -3.12127
1070 1096.42 2654.46 567.524 -3.12164
1080 1006.84 6352.27 567.497 -3.12206
1090 1092.05 3321.28 567.592 -3.12246
1100 1232.91 -3348.97 567.752 -3.12306
1110 1219.79 -5706.84 567.856 -3.1241
1120 1146.56 -4002.85 567.854 -3.12547
1130 1109.78 -690.509 567.778 -3.12693
1140 1103.69 1995.92 567.693 -3.12839
1150 1054.26 3610.52 567.654 -3.1298
1160 949.377 5068.3 567.694 -3.13098
1170 856.673 6451.23 567.842 -3.13176
1180 828.796 7757.53 568.126 -3.1321
1190 842.647 7193.99 568.565 -3.13206
1200 833.82 7335.48 569.152 -3.1317
