# Time-averaged data for fix 4
# TimeStep c_mytemp c_mypress v_vmyvol v_avgEtotal
10 1518.39 -2616.31 616.095 -2.91214
20 1355.26 -2103.77 615.524 -2.91421
30 1271.93 -1605.51 614.929 -2.91584
40 1368.33 -2721.76 614.316 -2.91713
50 1475.85 -3227.51 613.669 -2.91842
60 1424.89 -1591.56 612.983 -2.91982
70 1289.69 3936.69 612.291 -2.92105
80 1199.47 7469.71 611.681 -2.92184
90 1188.43 8030.85 611.218 -2.92218
100 1243.37 6133.41 610.907 -2.92217
110 1388.75 1302.32 610.712 -2.92198
120 1551.45 -3169.84 610.549 -2.92194
130 1585.8 -6526.5 610.339 -2.92243
140 1431.42 -4612.89 610.03 -2.9234
150 1270.83 -860.475 609.65 -2.92431
160 1293.22 -1721.84 609.257 -2.92493
170 1389.46 -360.235 608.849 -2.92539
180 1397.93 2805.71 608.448 -2.92586
190 1284.39 5928.19 608.109 -2.92629
200 1248.73 8118.65 607.885 -2.92652
210 1258.2 9161.42 607.812 -2.92654
220 1201.49 14490 607.917 -2.92636
230 1279.83 12921.1 608.273 -2.926
240 1483.05 5595.53 608.851 -2.92555
250 1483.71 4344.55 609.538 -2.92535
260 1373.41 5785.78 610.305 -2.9255
270 1398.06 3179.72 611.164 -2.92577
280 1445.95 311.043 612.074 -2.92606
290 1486.28 -1564.42 612.985 -2.92657
300 1370 2031.68 613.873 -2.92727
310 1216.05 7507.46 614.794 -2.92795
320 1122.4 10358.7 615.84 -2.92836
330 1081.95 12304.1 617.068 -2.92837
340 1191.83 9490.8 618.505 -2.92799
350 1288.22 2725.88 620.098 -2.92713
360 1361.62 -4714.36 621.727 -2.92603
370 1374.37 -8271.66 623.26 -2.92485
380 1439.69 -12538.1 624.623 -2.92382
390 1560.94 -16989.7 625.736 -2.92304
400 1596.71 -15392 626.53 -2.92292
410 1458.12 -11536.9 627.03 -2.92349
420 1229.56 -5615.88 627.313 -2.9242
430 1161.38 -3947.88 627.482 -2.92454
440 1322.09 -6950.25 627.571 -2.92452
450 1418.32 -7709.71 627.536 -2.92442
460 1387.44 -6517.8 627.362 -2.92448
470 1310.22 -4881.5 627.074 -2.92463
480 1265.44 -4770.74 626.701 -2.92466
490 1315.33 -6842.13 626.243 -2.92456
500 1368.4 -5256.69 625.675 -2.9244
510 1448.36 -4365.55 625.02 -2.92431
520 1484.98 -3794.63 624.298 -2.92448
530 1408.36 -1852.99 623.523 -2.92492
540 1249.2 3728.99 622.738 -2.92532
550 1184.66 5395.98 622.034 -2.9254
560 1248.09 3817.44 621.441 -2.92515
570 1357.81 2963.98 620.935 -2.92473
580 1418.4 1790.13 620.497 -2.92435
590 1369.92 939.813 620.105 -2.92416
600 1260.11 1794.4 619.744 -2.92404
610 1184.37 3301.94 619.429 -2.92375
620 1191.73 2623.9 619.18 -2.92319
630 1221.06 1329.09 618.987 -2.92237
640 1188.32 2611.14 618.832 -2.92138
650 1141.08 2067.96 618.728 -2.92022
660 1134.85 2017.19 618.67 -2.91885
670 1168.21 2727.74 618.656 -2.91723
680 1246.19 3019.46 618.696 -2.91541
690 1348.12 4656.28 618.799 -2.91352
700 1428.65 6180.14 618.993 -2.91177
710 1431.14 7896.98 619.303 -2.91044
720 1339.13 11239.5 619.765 -2.90953
730 1339.06 9434.42 620.426 -2.90887
740 1283.53 10083.1 621.265 -2.90828
750 1225.04 10722.4 622.287 -2.90775
760 1359.86 3077.71 623.488 -2.90706
770 1436.95 -2281.55 624.742 -2.90623
780 1439.45 -4985.16 625.947 -2.90561
790 1405.57 -6303.27 627.049 -2.90525
800 1327.03 -6642.99 628.024 -2.90504
810 1234.35 -4758.63 628.87 -2.90482
820 1228.51 -4142.65 629.617 -2.90443
830 1291.72 -5540.64 630.275 -2.90384
840 1312.78 -6256.43 630.823 -2.90314
850 1381 -8783.65 631.246 -2.90245
860 1482.03 -10436.6 631.501 -2.90192
870 1543.77 -7738.09 631.564 -2.90179
880 1543.75 -6002.99 631.481 -2.9022
890 1427.88 -2297.31 631.294 -2.90301
900 1278.76 -917.416 631.066 -2.90382
910 1165.51 -311.876 630.83 -2.90428
920 1228.34 -3772.69 630.588 -2.90435
930 1357.11 -8153.24 630.279 -2.9042
940 1364.6 -7012.82 629.835 -2.90406
950 1299.92 -5159.84 629.269 -2.90399
960 1242.9 -1921.48 628.621 -2.90378
970 1341.65 -3108.56 627.943 -2.90342
980 1407.38 -5164.29 627.221 -2.90306
990 1364.46 -5388.84 626.419 -2.9029
1000 1272.68 -3567.38 625.539 -2.90279
1010 1269.75 -5224.79 624.602 -2.90257
1020 1307.46 -6276.71 623.589 -2.90226
1030 1271.29 -3816.98 622.485 -2.90188
1040 1201.79 -770.002 621.333 -2.90134
1050 1215.22 1307.59 620.188 -2.90055
1060 1316.1 2440.15 619.09 -2.89952
1070 1436.49 1793.76 618.056 -2.89848
1080 1435.54 5341.62 617.087 -2.89768
1090 1405.12 8168.88 616.235 -2.89714
1100 1403.49 6983.88 615.545 -2.89683
1110 1386.04 8487.88 615.004 -2.89669
1120 1366.86 9157.67 614.631 -2.89665
1130 1369.26 7892.02 614.433 -2.89669
1140 1444.07 5504.59 614.386 -2.89681
1150 1602.49 1502.22 614.443 -2.89724
1160 1614.92 194.92 614.538 -2.89828
1170 1409.22 2967.89 614.646 -2.89976
1180 1128.53 8912.48 614.819 -2.90094
1190 1089.4 9753.3 615.149 -2.90151
1200 1221.01 6425.7 615.65 -2.90156
1210 1297.5 4218.65 616.27 -2.90131
1220 1328.47 2371.65 616.965 -2.90092
1230 1472.13 -1758.71 617.696 -2.90055
1240 1558.58 -2567.17 618.394 -2.90046
1250 1410.34 3986.7 619.056 -2.90087
1260 1257.84 6313.3 619.781 -2.90139
1270 1252.39 6600.95 620.616 -2.90171
1280 1291.95 5276.45 621.566 -2.9018
1290 1356.78 1574.14 622.603 -2.90173
1300 1388.37 -569.421 623.665 -2.90162
1310 1343.93 -406.178 624.713 -2.90158
1320 1297.83 -2650.28 625.74 -2.90151
1330 1323.18 -5131.42 626.708 -2.9013
1340 1358.38 -5214.07 627.575 -2.90103
1350 1385.26 -3138.43 628.341 -2.90084
1360 1398.28 -1863.76 629.041 -2.90077
1370 1368.87 -1699 629.699 -2.90083
1380 1204.53 2264.36 630.328 -2.90088
1390 1115.77 4924.35 630.996 -2.90071
1400 1230.78 -311.394 631.74 -2.90014
1410 1349.35 -3771.92 632.476 -2.89925
1420 1366.25 -4084.42 633.141 -2.89838
1430 1360.81 -6268.97 633.719 -2.89765
1440 1360.15 -8228.34 634.174 -2.89703
1450 1394.17 -9373.1 634.468 -2.89653
1460 1431.97 -9922.1 634.583 -2.89622
1470 1427.46 -10951 634.508 -2.89617
1480 1372.91 -10495.9 634.228 -2.89634
1490 1323.57 -7752.98 633.759 -2.89656
1500 1365.76 -7606.7 633.146 -2.89675
1510 1393.91 -6433.79 632.403 -2.89697
1520 1262.31 -1443.66 631.559 -2.8972
1530 1116.15 1479.65 630.702 -2.8971
1540 1220.55 -2791.16 629.88 -2.89666
1550 1362.6 -5936.39 629.025 -2.89599
1560 1455.58 -8384.89 628.076 -2.89545
1570 1503.18 -8688.7 626.991 -2.89528
1580 1514.09 -5790.7 625.769 -2.89554
1590 1439.62 1127.22 624.472 -2.89606
1600 1357.95 5679.6 623.219 -2.89653
1610 1363.59 6220.07 622.091 -2.89696
1620 1320.64 10609.6 621.113 -2.89726
1630 1302.19 10202.4 620.342 -2.89744
1640 1292.67 9249.83 619.779 -2.89752
1650 1272.6 11297.9 619.408 -2.89748
1660 1302.66 11188.8 619.253 -2.89731
1670 1393.27 9489.66 619.31 -2.89711
1680 1424.86 10471.5 619.552 -2.89706
1690 1399.46 10884.8 619.991 -2.89723
1700 1427.48 5636.04 620.622 -2.89754
1710 1507.28 -237.169 621.355 -2.89797
1720 1602.89 -4437.25 622.083 -2.89874
1730 1658.32 -8843.13 622.723 -2.90009
1740 1606.52 -10472.7 623.199 -2.9021
1750 1461.71 -5956.22 623.489 -2.90435
1760 1522.85 -5543.54 623.661 -2.90662
1770 1547.36 -4341.07 623.734 -2.90912
1780 1420.78 653.566 623.736 -2.91162
1790 1308.8 5665.68 623.757 -2.91377
1800 1274.74 8209.89 623.885 -2.91543
1810 1309.45 8427.33 624.168 -2.91675
1820 1295.54 9315.89 624.613 -2.91783
1830 1256.58 10691.9 625.234 -2.91865
1840 1295.79 9316.43 626.048 -2.91924
1850 1356.87 9008.36 627.037 -2.91969
1860 1363.06 8126.77 628.19 -2.92013
1870 1341.09 5417.44 629.484 -2.92052
1880 1364.51 3605.26 630.876 -2.92083
1890 1494.38 -1940.73 632.318 -2.92112
1900 1596.06 -8633.34 633.709 -2.92159
1910 1566.17 -13596.1 634.924 -2.92251
1920 1433.31 -14629 635.87 -2.92373
1930 1279.88 -11835.7 636.53 -2.9249
1940 1221.17 -9981.57 636.953 -2.92575
1950 1316.27 -12230.8 637.171 -2.92627
1960 1480.93 -15014.3 637.151 -2.92678
1970 1498.78 -16725.7 636.845 -2.92763
1980 1391.99 -17531 636.221 -2.9288
1990 1283.03 -15249.7 635.276 -2.92995
2000 1318.83 -14915.7 634.05 -2.93091
2010 1369.01 -14498.9 632.561 -2.93182
2020 1342.06 -13725.1 630.822 -2.93273
2030 1256.78 -13511.1 628.855 -2.93358
2040 1197.44 -11353.4 626.673 -2.93418
2050 1228.06 -9649.91 624.321 -2.93441
2060 1317.34 -8775.07 621.835 -2.93439
2070 1356 -7997.79 619.237 -2.9343
2080 1288.17 -3467.09 616.554 -2.93416
2090 1248.46 491.355 613.865 -2.93369
2100 1331.17 242.051 611.235 -2.93303
2110 1388.97 3099.33 608.673 -2.93232
2120 1369.93 9764.25 606.23 -2.93155
2130 1230.15 18373.1 604.016 -2.93054
2140 1209.81 23629.2 602.168 -2.92925
2150 1153.17 25994.3 600.769 -2.92783
2160 1107 29157.1 599.856 -2.92632
2170 1353.1 22890.4 599.455 -2.92476
2180 1599.55 11626.5 599.456 -2.92333
2190 1612.84 8314.1 599.678 -2.92264
2200 1548.02 6820.38 600.05 -2.92278
2210 1534.67 4502.12 600.538 -2.92346
2220 1525.83 5786.91 601.11 -2.92452
2230 1544.93 4828.96 601.777 -2.92595
2240 1594.7 1338.35 602.521 -2.92773
2250 1570.16 -1568.23 603.283 -2.92988
2260 1454.13 -158.017 604.02 -2.93218
2270 1340.56 2838.71 604.751 -2.93429
2280 1270.27 4359.56 605.525 -2.93602
2290 1172.08 5299.56 606.37 -2.93726
2300 1122.61 4430.86 607.298 -2.93795
2310 1168.3 1140.32 608.292 -2.93809
2320 1259.29 -935.582 609.3 -2.9378
2330 1336.04 -1630.11 610.283 -2.9373
2340 1367.56 -1415.91 611.229 -2.93681
2350 1388.6 -183.228 612.143 -2.93643
2360 1407.6 -1556.19 613.041 -2.9362
2370 1321.48 -271.531 613.909 -2.93609
2380 1178.32 3699.03 614.769 -2.93598
2390 1114.31 3982.97 615.682 -2.93562
2400 1169.68 2340 616.658 -2.93488
2410 1246.45 972.76 617.667 -2.9338
2420 1235.74 1799.59 618.689 -2.93258
2430 1191.8 2096.09 619.734 -2.93134
2440 1173.22 2415.19 620.807 -2.92999
2450 1166.45 3685.38 621.918 -2.92852
2460 1198.49 3956.29 623.085 -2.9269
2470 1258.83 3878.84 624.314 -2.92517
2480 1305.01 3482.17 625.604 -2.92341
2490 1285.01 4091.35 626.949 -2.92179
2500 1204.56 4292.22 628.359 -2.92034
2510 1162.01 1403.88 629.831 -2.91887
2520 1238.31 -2048.79 631.314 -2.91716
2530 1401.74 -7987.17 632.738 -2.9152
2540 1470.61 -11493.8 633.997 -2.91334
2550 1394.96 -11624.8 635.027 -2.91197
2560 1309.56 -12356.2 635.82 -2.91098
2570 1294.48 -12287.1 636.366 -2.91011
2580 1342.7 -12137.6 636.668 -2.90929
2590 1350.29 -11944.8 636.733 -2.90858
2600 1312.06 -10933.5 636.57 -2.90801
2610 1278.01 -9878.01 636.201 -2.90749
2620 1314.39 -10347.9 635.647 -2.90695
2630 1362.46 -9841.26 634.908 -2.90644
2640 1329.56 -7338.06 633.997 -2.90602
2650 1215.87 -3165.68 632.969 -2.90558
2660 1189.71 -2838.33 631.896 -2.90495
2670 1287.71 -5752.57 630.785 -2.90411
