# Time-averaged data for fix 2
# TimeStep c_mytemp c_mypress v_vmyvol v_avgEtotal
10010 1437.95 940156 395.839 -2.64029
10020 1238.87 1.06039e+06 395.493 -2.63325
10030 1415.1 976064 395.405 -2.63094
10040 1469.21 986997 395.25 -2.62719
10050 1395.65 1.01743e+06 395.007 -2.62171
10060 1445.23 1.02077e+06 394.885 -2.61846
10070 1560.11 999400 394.883 -2.6176
10080 1391.79 1.04045e+06 394.934 -2.618
10090 1337.73 989133 395.189 -2.62236
10100 1478.34 967719 395.397 -2.62544
10110 1527.71 970694 395.4 -2.62455
10120 1446.82 982413 395.203 -2.62011
10130 1283.67 1.04178e+06 394.937 -2.61412
10140 1350.01 1.05641e+06 394.925 -2.61296
10150 1422.39 1.01024e+06 395.259 -2.61847
10160 1388.3 982496 395.687 -2.6255
10170 1426.09 934871 395.965 -2.62945
10180 1667.13 914332 395.817 -2.62551
10190 1692.96 1.01116e+06 395.16 -2.6124
10200 1411.55 1.125e+06 394.619 -2.60074
10210 1502.01 1.05828e+06 394.812 -2.60441
10220 1521.62 1.01202e+06 395.425 -2.61636
10230 1430.39 951300 396.104 -2.62919
10240 1404.56 890399 396.438 -2.63489
10250 1417.51 949407 396.09 -2.62813
10260 1332.47 1.04734e+06 395.439 -2.61465
10270 1526.2 1.03353e+06 395.051 -2.60588
10280 1697.44 1.02184e+06 394.901 -2.60211
10290 1566.08 1.04005e+06 394.931 -2.60242
10300 1418.99 1.01361e+06 395.208 -2.6079
10310 1343.92 1.00533e+06 395.584 -2.61503
10320 1486.66 936606 395.957 -2.62179
10330 1627.54 890096 395.902 -2.62047
10340 1472.69 1.04783e+06 395.244 -2.60768
10350 1575.09 1.04635e+06 394.808 -2.59851
10360 1531.99 1.04353e+06 394.712 -2.59658
10370 1294.56 1.0957e+06 394.946 -2.60154
10380 1345.21 1.01386e+06 395.754 -2.61806
10390 1553.8 829332 396.569 -2.63231
10400 1477.01 893105 396.373 -2.6283
10410 1507.82 990042 395.461 -2.61081
10420 1592 1.07818e+06 394.508 -2.59134
10430 1627.61 1.12167e+06 394.062 -2.58172
10440 1444.47 1.1403e+06 394.468 -2.59092
10450 1453.08 962058 395.672 -2.61565
10460 1360.64 897174 396.683 -2.63362
10470 1340.52 880798 397.015 -2.63912
10480 1550.68 852787 396.494 -2.6301
10490 1365.82 1.09824e+06 395.181 -2.60447
10500 1494.64 1.1391e+06 394.413 -2.58681
10510 1589.19 1.10122e+06 394.568 -2.58941
10520 1553.02 1.01869e+06 395.37 -2.60565
10530 1508.25 955848 396.344 -2.62421
10540 1624.28 817829 396.912 -2.63428
10550 1447.34 923256 396.394 -2.62544
10560 1404.08 1.03778e+06 395.375 -2.60552
10570 1683.66 1.05319e+06 394.554 -2.58895
10580 1632.45 1.1479e+06 394.182 -2.58134
10590 1615.71 1.09346e+06 394.732 -2.5939
10600 1648.86 930999 395.83 -2.61632
10610 1451.84 910890 396.544 -2.62993
10620 1316.82 918104 396.653 -2.63252
10630 1314.92 932760 396.194 -2.62456
10640 1364.17 1.03736e+06 395.373 -2.60834
10650 1488.37 1.0614e+06 394.74 -2.59512
10660 1316.43 1.14696e+06 394.604 -2.59181
10670 1492.46 1.00548e+06 395.313 -2.60588
10680 1650.19 910834 396.097 -2.61968
10690 1815.79 871226 396.283 -2.62275
10700 1799.14 933048 395.657 -2.61226
10710 1745.42 1.03119e+06 394.606 -2.59335
10720 1457.95 1.17463e+06 393.823 -2.57854
10730 1134.28 1.19682e+06 394.171 -2.58784
10740 1243.62 954716 395.684 -2.61965
10750 1418.8 803998 396.922 -2.64048
10760 1334.23 858176 396.932 -2.63984
10770 1510.96 919186 395.969 -2.62227
10780 1690.72 1.04624e+06 394.512 -2.59393
10790 1512.1 1.26445e+06 393.488 -2.57115
10800 1703.13 1.1161e+06 394.005 -2.58273
10810 1640.58 965167 395.332 -2.60954
10820 1316.63 914942 396.462 -2.63083
10830 1325.72 851391 396.982 -2.6401
10840 1497.91 852209 396.51 -2.63217
10850 1488.29 1.034e+06 395.168 -2.60714
10860 1580.1 1.10032e+06 393.988 -2.58221
10870 1287.75 1.2393e+06 393.586 -2.5735
10880 1271.42 1.12958e+06 394.653 -2.59821
10890 1626.8 830365 396.462 -2.63147
10900 1569.93 809082 397.28 -2.64373
10910 1508.05 860978 396.788 -2.63535
10920 1506.8 1.00905e+06 395.437 -2.61011
10930 1500 1.12213e+06 394.143 -2.5833
10940 1515.8 1.2034e+06 393.706 -2.57337
10950 1655.67 1.05237e+06 394.497 -2.59041
10960 1552.07 941740 395.671 -2.61323
10970 1560.24 847390 396.425 -2.62706
10980 1384.88 921299 396.25 -2.62423
10990 1393.84 977895 395.51 -2.61041
11000 1626.59 1.02914e+06 394.645 -2.59354
11010 1675.48 1.12294e+06 394.033 -2.581
11020 1565.35 1.09811e+06 394.175 -2.58459
11030 1347.58 1.06385e+06 395.005 -2.6027
11040 1282.27 927213 396.172 -2.62555
11050 1275.56 871598 396.891 -2.63791
11060 1423.61 854259 396.738 -2.63469
11070 1603.04 918736 395.637 -2.61492
11080 1559.29 1.09713e+06 394.088 -2.58395
11090 1564.27 1.21657e+06 393.189 -2.56363
11100 1636.25 1.1534e+06 393.665 -2.57445
11110 1658.16 979277 395.105 -2.60427
11120 1547.56 873580 396.43 -2.62885
11130 1392.1 833443 396.907 -2.63739
11140 1336.85 910889 396.309 -2.62731
11150 1532.56 1.00315e+06 395.12 -2.60485
11160 1519.75 1.16721e+06 394.042 -2.58243
11170 1452.16 1.17296e+06 394.002 -2.58149
11180 1501.18 1.02712e+06 395.062 -2.60391
11190 1681.46 890707 396.292 -2.62682
11200 1629.27 846981 396.814 -2.63609
11210 1466.8 888410 396.339 -2.62852
11220 1394.76 1.00645e+06 395.147 -2.60699
11230 1483.99 1.14578e+06 394.062 -2.58432
11240 1611.81 1.10166e+06 393.845 -2.57961
11250 1361.31 1.13169e+06 394.406 -2.59215
11260 1323.1 969898 395.706 -2.61893
11270 1435.92 843730 396.829 -2.63844
11280 1654.02 780974 396.884 -2.63915
11290 1524.55 944049 395.587 -2.61724
11300 1492.87 1.12815e+06 393.954 -2.5837
11310 1687.53 1.19019e+06 393.145 -2.56577
11320 1555.44 1.18288e+06 393.612 -2.57713
11330 1454.78 963935 395.158 -2.60961
11340 1297.44 889826 396.556 -2.63494
11350 1468.91 785290 397.129 -2.64463
11360 1497.5 855053 396.346 -2.63187
11370 1404.49 1.07609e+06 394.68 -2.60018
11380 1508.04 1.2086e+06 393.516 -2.57394
11390 1661.5 1.15438e+06 393.679 -2.5772
11400 1654.94 1.00975e+06 394.818 -2.60102
11410 1402.02 951399 396.089 -2.62569
11420 1377.02 822564 396.925 -2.64066
11430 1104.65 940018 396.727 -2.63666
11440 1383.59 930094 396.008 -2.62261
11450 1472.26 1.05511e+06 394.931 -2.60121
11460 1482.16 1.17707e+06 394.255 -2.58533
11470 1888.81 1.03469e+06 394.627 -2.59213
11480 1811.73 955836 395.273 -2.60454
11490 1544.92 982701 395.68 -2.61294
11500 1581.16 932237 395.918 -2.6183
11510 1567.75 905960 395.686 -2.61534
11520 1180.22 1.09067e+06 395.001 -2.60241
11530 1522.6 1.00801e+06 394.719 -2.59679
11540 1376.18 1.10404e+06 394.663 -2.5957
11550 1359.92 1.03927e+06 395.189 -2.60663
11560 1538.73 922930 395.959 -2.62084
11570 1645.54 866171 396.217 -2.62516
11580 1454.16 978111 395.682 -2.61539
11590 1423.3 1.03962e+06 394.96 -2.60098
11600 1372.27 1.08822e+06 394.518 -2.59171
11610 1275.46 1.13536e+06 394.716 -2.59571
11620 1634.29 921035 395.631 -2.6132
11630 1589.28 917196 396.155 -2.62172
11640 1467.86 959437 396.123 -2.62079
11650 1561.06 954390 395.79 -2.61432
11660 1692.12 978084 395.172 -2.60266
11670 1551.36 1.08381e+06 394.473 -2.58907
11680 1530.14 1.10003e+06 394.303 -2.58586
11690 1545.01 1.03053e+06 394.766 -2.5958
11700 1423.36 991043 395.456 -2.60988
11710 1335.35 899440 396.036 -2.62091
11720 1361.84 889799 395.978 -2.6198
11730 1364.17 973679 395.225 -2.6056
11740 1401.35 1.08863e+06 394.335 -2.58707
11750 1663.17 1.10141e+06 393.997 -2.57903
11760 1820.08 1.03823e+06 394.317 -2.58525
11770 1906.01 941043 394.865 -2.59644
11780 1698.37 950024 395.078 -2.60184
11790 1302.86 1.02522e+06 394.99 -2.60159
11800 1184.73 1.02401e+06 395.03 -2.60314
11810 1305.41 981575 395.212 -2.60677
11820 1526.87 961265 395.285 -2.60785
11830 1675.6 954482 395.098 -2.60414
11840 1605.72 1.01836e+06 394.659 -2.5958
11850 1654.19 1.05114e+06 394.329 -2.58964
