# Time-averaged data for fix 2
# TimeStep c_mytemp c_mypress v_vmyvol v_avgEtotal
10 895.207 1.20376e+06 392.852 -2.68477
20 954.868 948937 394.868 -2.72616
30 900.879 803440 396.425 -2.75289
40 843.38 848456 396.061 -2.74656
50 935.461 1.03367e+06 394.265 -2.71269
60 1109.99 1.15785e+06 392.787 -2.6809
70 1026.23 1.18929e+06 392.924 -2.68406
80 1005.7 949545 394.735 -2.72162
90 937.463 831942 396.124 -2.74561
100 815.11 890371 395.884 -2.74123
110 850.546 1.02834e+06 394.583 -2.71653
120 1040.46 1.09767e+06 393.533 -2.69409
130 986.081 1.12104e+06 393.494 -2.69285
140 956.128 1.02098e+06 394.606 -2.716
150 1141.28 827474 395.807 -2.73765
160 1069.03 896027 395.455 -2.73152
170 956.66 1.04744e+06 394.068 -2.70557
180 824.162 1.18381e+06 393.244 -2.68811
190 896.737 1.04605e+06 394.046 -2.70503
200 892.462 927525 395.361 -2.72995
210 914.348 862059 395.928 -2.73963
220 929.375 941228 395.184 -2.72593
230 1001.12 1.06788e+06 393.884 -2.69984
240 1006.81 1.14847e+06 393.289 -2.68678
250 1083.61 1.0548e+06 394.083 -2.70348
260 1186.91 888629 395.364 -2.72779
270 1104.77 882654 395.613 -2.73258
280 985.949 997325 394.747 -2.71726
290 927.733 1.09641e+06 393.854 -2.69974
300 831.447 1.10594e+06 393.914 -2.70149
310 805.21 977256 394.932 -2.72213
320 818.581 905140 395.768 -2.7372
330 956.825 889946 395.634 -2.73437
340 1065.28 996187 394.466 -2.71241
350 1011.65 1.15656e+06 393.362 -2.68905
360 964.39 1.10257e+06 393.686 -2.69581
370 925.155 963469 395.007 -2.72214
380 935.588 862799 395.954 -2.73891
390 933.816 903307 395.574 -2.73196
400 968.16 1.04576e+06 394.302 -2.70727
410 1067.21 1.12832e+06 393.468 -2.68944
420 1092.53 1.0788e+06 393.877 -2.6981
430 1054.45 939912 395.007 -2.72039
440 939.535 907093 395.601 -2.73142
450 963.628 914853 395.237 -2.7252
460 1006.57 1.05114e+06 394.133 -2.70434
470 1055.22 1.11285e+06 393.496 -2.69116
480 923.024 1.0754e+06 393.982 -2.70178
490 746.256 955879 395.144 -2.72495
500 662.999 895180 395.904 -2.73847
510 888.241 885790 395.578 -2.73218
520 1030.66 1.02634e+06 394.222 -2.70588
530 1031.24 1.16194e+06 393.172 -2.68279
540 1155.67 1.07288e+06 393.601 -2.69134
550 1171.65 945649 394.76 -2.71384
560 1071.4 910658 395.419 -2.72622
570 998.08 907392 395.157 -2.72216
580 988.367 1.02611e+06 394.049 -2.70206
590 893.863 1.1678e+06 393.279 -2.68628
600 1000.88 1.03988e+06 393.998 -2.70175
610 980.671 919095 395.137 -2.7236
620 836.729 907151 395.516 -2.73054
630 935.497 937690 394.954 -2.72035
640 1032.26 1.06243e+06 393.836 -2.69862
650 1005.56 1.14975e+06 393.389 -2.68908
660 1058.56 1.00187e+06 394.255 -2.707
670 886.455 933543 395.224 -2.72537
680 871.153 911130 395.519 -2.73074
690 976.298 956640 394.939 -2.72001
700 985.677 1.06546e+06 393.987 -2.701
710 985.145 1.10315e+06 393.677 -2.69435
720 1050.67 1.00903e+06 394.32 -2.70743
730 1151.64 911011 395.04 -2.72107
740 1032.21 960781 394.977 -2.72029
750 881.275 1.00482e+06 394.475 -2.71117
760 760.761 1.08989e+06 394.112 -2.70405
770 948.493 992811 394.481 -2.71132
780 1003.07 968030 394.872 -2.71838
790 984.944 967363 394.937 -2.7194
800 1068.42 976695 394.669 -2.71426
810 1007.74 1.04983e+06 394.24 -2.70586
820 934.079 1.03891e+06 394.241 -2.70599
830 915.111 1.01439e+06 394.667 -2.71458
840 991.595 920886 395.146 -2.72364
850 1079.7 944545 394.921 -2.71948
860 1124.36 1.01953e+06 394.159 -2.70513
870 939.407 1.12746e+06 393.67 -2.69564
880 855.514 1.02955e+06 394.295 -2.70909
890 823.364 943746 395.263 -2.72749
900 931.301 894931 395.65 -2.73435
910 1101.69 914850 394.984 -2.72248
920 1050.49 1.10057e+06 393.628 -2.69578
930 914.601 1.17555e+06 393.224 -2.68722
940 815.78 1.02419e+06 394.439 -2.71326
950 835.566 861173 395.894 -2.73955
960 913.029 861065 396.017 -2.74104
970 978.99 971500 394.777 -2.71815
980 1033.86 1.13198e+06 393.329 -2.68794
990 1121.52 1.14309e+06 393.135 -2.68325
1000 1043.32 1.03125e+06 394.324 -2.70828
1010 975.638 873080 395.78 -2.73571
