# Time-averaged data for fix 4
# TimeStep c_mytemp c_mypress v_vmyvol v_avgEtotal
10 879.764 928705 394.914 -2.72945
20 672.479 949047 395.287 -2.73611
30 870.821 937397 395.039 -2.73118
40 1054.58 1.00157e+06 394.231 -2.71533
50 1090.29 1.09761e+06 393.48 -2.69969
60 1062.85 1.07063e+06 393.659 -2.70345
70 963.766 987140 394.57 -2.722
80 914.765 895116 395.281 -2.73539
90 841.353 974642 395.059 -2.73126
100 907.08 1.02273e+06 394.529 -2.72079
110 1011.39 997425 394.159 -2.71335
120 853.341 1.07932e+06 393.92 -2.70854
130 792.204 1.04369e+06 394.388 -2.71805
140 929.649 909911 395.241 -2.73399
150 1010.26 899296 395.219 -2.73313
160 932.35 1.05737e+06 394.301 -2.71503
170 979.461 1.0831e+06 393.894 -2.70616
180 1038.9 997415 394.239 -2.7128
190 957.706 1.00688e+06 394.702 -2.72187
200 992.863 930553 395.109 -2.72969
210 905.416 963127 394.883 -2.7256
220 822.254 1.04361e+06 394.331 -2.71472
230 887.374 1.05292e+06 394.169 -2.7112
240 962.398 996861 394.514 -2.71773
250 1017.37 974730 394.887 -2.72452
260 1160.73 926091 394.915 -2.7251
270 1062.3 1.02795e+06 394.336 -2.7145
280 906.896 1.09343e+06 394.02 -2.7086
290 897.312 1.00118e+06 394.554 -2.71983
300 867.724 936098 395.138 -2.73106
310 827.038 976271 395.118 -2.73064
320 932.133 988944 394.826 -2.72472
330 1083.99 988189 394.406 -2.7165
340 1034.75 1.07488e+06 393.959 -2.70764
350 985.086 1.04259e+06 394.217 -2.71321
360 1043.2 941342 394.842 -2.72562
370 891.982 968733 394.98 -2.72857
380 840.519 991531 394.769 -2.72473
390 1011.54 985917 394.434 -2.71834
400 952.771 1.05632e+06 394.05 -2.71089
410 873.964 1.04841e+06 394.19 -2.71389
420 932.302 953715 394.764 -2.72504
430 847.605 983918 394.975 -2.72879
440 944.337 964745 394.942 -2.72792
450 1041.3 973254 394.573 -2.72074
460 971.11 1.06689e+06 394.009 -2.70949
470 949.652 1.0578e+06 394.075 -2.71087
480 942.256 988229 394.704 -2.72331
490 930.634 936609 395.211 -2.73291
500 939.81 939089 395.094 -2.7307
510 968.798 1.00444e+06 394.375 -2.71703
520 929.123 1.08854e+06 393.761 -2.70451
530 973.409 1.0365e+06 393.948 -2.70826
540 961.583 982905 394.539 -2.71988
550 845.082 957441 394.973 -2.72806
560 903.183 940585 394.943 -2.72736
