# Time-averaged data for fix 2
# TimeStep c_mytemp c_mypress v_vmyvol v_avgEtotal
5010 342.369 16289.8 529.148 -3.3353
5020 317.777 21223.7 526.879 -3.33405
5030 295.858 29951.8 522.654 -3.33123
5040 298.405 42055.4 516.795 -3.32615
5050 330.179 57065 509.715 -3.31807
5060 369.788 75644.8 501.883 -3.30643
5070 385.303 97926 493.819 -3.29109
5080 375.479 121921 486.067 -3.27276
5090 377.35 144347 479.142 -3.2531
5100 418.356 162680 473.462 -3.23435
5110 471.444 176348 469.318 -3.21877
5120 497.52 184748 466.89 -3.20831
5130 480.926 187630 466.253 -3.20421
5140 445.355 183619 467.393 -3.20672
5150 418.781 173983 470.186 -3.21496
5160 398.974 160678 474.418 -3.22731
5170 393.849 144175 479.811 -3.2419
5180 417.76 124807 486.017 -3.25667
5190 475.243 104020 492.616 -3.26974
5200 524.961 84659.3 499.141 -3.27995
5210 523.823 69851.2 505.145 -3.28724
5220 478.921 59119 510.267 -3.29212
5230 436.661 51924.9 514.249 -3.29502
5240 422.819 47193.4 516.926 -3.29623
5250 426.519 45110.7 518.211 -3.29595
5260 436.54 45837.1 518.097 -3.29432
5270 449.311 49388.3 516.659 -3.29139
5280 458.122 55651.3 514.051 -3.28707
5290 468.893 63325.2 510.488 -3.28127
5300 488.408 72183.5 506.219 -3.27395
5310 522.799 82737.6 501.507 -3.26512
5320 561.557 95217.5 496.632 -3.25494
5330 585.147 108809 491.896 -3.24383
5340 593.638 120947 487.587 -3.2326
5350 594.837 131567 483.946 -3.22219
5360 575.523 140627 481.155 -3.21345
5370 533.655 147629 479.354 -3.20716
5380 512.814 151935 478.637 -3.20387
5390 521.933 151183 479.039 -3.20379
5400 545.08 145410 480.506 -3.20666
5410 611.229 136703 482.889 -3.21175
5420 717.934 126348 485.987 -3.21815
5430 751.095 115918 489.567 -3.22522
5440 649.389 106835 493.397 -3.23253
5450 525.265 97558.5 497.268 -3.23948
5460 492.456 89124.3 500.968 -3.2454
5470 534.987 81580.9 504.304 -3.24994
5480 575.798 74897.4 507.105 -3.25299
5490 575.023 70215.8 509.224 -3.25469
5500 558.433 67110.9 510.564 -3.25519
5510 556.893 66212.2 511.074 -3.25454
5520 579.09 67377.2 510.759 -3.25276
5530 635.491 68884.8 509.674 -3.24987
5540 693.194 71422.8 507.892 -3.24597
5550 707.38 76249.1 505.509 -3.24123
5560 674.497 83681.4 502.67 -3.23573
5570 641.906 92220.9 499.572 -3.2295
5580 626.288 100693 496.423 -3.22273
5590 623.108 109610 493.422 -3.21573
5600 637.002 117205 490.757 -3.20896
5610 655.176 123499 488.578 -3.20295
