# Time-averaged data for fix 2
# TimeStep c_mytemp c_mypress v_vmyvol v_avgEtotal
10 563.886 6322.67 529.573 -3.33552
20 389.323 12867.3 529.573 -3.33551
30 175.284 19899.3 529.573 -3.3355
40 87.9393 22895.3 529.573 -3.3355
50 160.314 21548.1 529.573 -3.33551
60 285.514 17939.7 529.573 -3.33552
70 359.322 15400.3 529.573 -3.33552
80 366.663 14978.2 529.573 -3.33551
90 339.526 15691.9 529.573 -3.33551
100 312.908 16323.5 529.573 -3.33551
110 301.487 16412.3 529.573 -3.33551
120 304.24 15804 529.573 -3.33551
130 313.619 15328.2 529.573 -3.33551
140 326.247 15154.8 529.573 -3.33551
150 338.624 15143.3 529.573 -3.33551
160 335.573 15788.2 529.573 -3.33551
170 305.817 17103.3 529.573 -3.33551
180 262.783 18492.1 529.573 -3.33551
190 234.655 18924.3 529.573 -3.33551
200 238.584 18291 529.573 -3.33551
210 268.702 17011 529.573 -3.33551
220 310.888 15200.7 529.573 -3.33551
230 358.737 13377.3 529.573 -3.33551
240 406.028 12055.5 529.573 -3.33551
250 427.71 11793.2 529.573 -3.33552
260 391.473 13838.5 529.573 -3.33552
270 292.186 17443 529.573 -3.33551
280 176.72 21013.9 529.573 -3.33551
290 121.723 22765.1 529.573 -3.3355
300 173.317 21370.2 529.573 -3.3355
310 303.148 17006.2 529.573 -3.33551
320 425.037 12372.9 529.573 -3.33552
330 460.513 11163.3 529.573 -3.33552
340 387.799 13816 529.573 -3.33552
350 263.574 17785.8 529.573 -3.33551
360 195.381 19357.1 529.573 -3.3355
370 242.525 17534.3 529.573 -3.33551
380 350.164 14466.6 529.573 -3.33551
390 410.605 13134.2 529.573 -3.33552
400 371.477 14825.4 529.573 -3.33552
410 273.832 18334 529.573 -3.33551
420 198.9 20964.7 529.573 -3.3355
430 199.203 20909.7 529.573 -3.3355
440 261.727 18429.7 529.573 -3.33551
450 335.809 15503.2 529.573 -3.33551
460 376.084 13712 529.573 -3.33551
470 375.182 13581.6 529.573 -3.33551
480 350.288 14919.5 529.573 -3.33551
