# Time-averaged data for fix 2
# TimeStep c_mytemp c_mypress v_vmyvol v_avgEtotal
10 2083.11 -13500.4 664.331 -2.77252
20 1870.27 -8889.11 664.102 -2.77352
30 1812.21 -5775.35 663.732 -2.77482
40 1717.97 -417.623 663.284 -2.77605
50 1725.47 -689.202 662.833 -2.7771
60 1802.3 -4929.4 662.38 -2.77812
70 1791.89 -6692.63 661.864 -2.77925
80 1751.8 -7541.73 661.252 -2.78047
90 1646.36 -5552 660.537 -2.78159
100 1493.67 -565.454 659.753 -2.78228
110 1540.52 371.444 658.976 -2.78244
120 1735.33 -3024.2 658.218 -2.7823
130 1849.21 -2941.43 657.436 -2.78226
140 1838.64 -1111.93 656.63 -2.7826
150 1691.58 4290.38 655.834 -2.78306
160 1697.4 6601.87 655.124 -2.78345
170 1661.43 9343.41 654.545 -2.78373
180 1579.59 9989.21 654.131 -2.78385
190 1520.15 11474.7 653.897 -2.78373
200 1522.02 13058.5 653.86 -2.78329
210 1569.05 10314 654.036 -2.7826
220 1539.93 10087.5 654.389 -2.78171
230 1599.15 5642.39 654.899 -2.78066
240 1740.68 44.6586 655.498 -2.77943
250 1860.92 -1058.79 656.099 -2.77836
260 1887.03 -1340.21 656.679 -2.77776
270 1829.99 -911.841 657.234 -2.77771
280 1698.1 2606.8 657.776 -2.77796
290 1626.99 5045.41 658.356 -2.77822
300 1682.19 4381.79 659.011 -2.77835
310 1730.56 2078.06 659.731 -2.7784
320 1766.05 -1309.12 660.479 -2.77849
330 1704.26 -2104.9 661.201 -2.77867
340 1548.09 -166.078 661.887 -2.77877
350 1631.38 -2673.67 662.557 -2.77861
360 1879.17 -9337.33 663.169 -2.77828
370 2004.3 -11250.1 663.629 -2.77837
380 2040.18 -13279.7 663.896 -2.77931
390 1983.43 -13171.6 663.944 -2.78107
400 1873.88 -9838.22 663.78 -2.78329
410 1826.72 -7998.04 663.457 -2.78559
420 1861.82 -11265.1 663.003 -2.78799
430 1812.76 -12398.3 662.376 -2.79051
440 1656.14 -9741.07 661.565 -2.79282
450 1553.43 -8880.3 660.607 -2.79462
460 1496.68 -8042.61 659.524 -2.79583
470 1471.22 -8189.77 658.331 -2.79646
480 1510.81 -10019.7 657.026 -2.79664
490 1499.54 -8713.63 655.591 -2.79645
500 1516.61 -8376.86 654.043 -2.7959
510 1586.88 -6506.67 652.395 -2.79506
520 1661.28 -4035.94 650.679 -2.79399
530 1729.78 865.61 648.941 -2.79286
540 1773.07 6936.66 647.257 -2.79172
550 1789.26 12882.3 645.724 -2.79073
560 1710.01 18497.7 644.432 -2.7899
570 1686.57 19688.7 643.459 -2.78921
580 1689.09 17844.2 642.816 -2.7887
590 1651.56 17514.6 642.477 -2.78826
600 1826.55 12659.9 642.421 -2.78795
610 1986.83 8588.96 642.572 -2.78801
620 1997.96 7606.41 642.868 -2.78886
630 1806.26 12235 643.295 -2.79027
640 1694.62 13765.9 643.91 -2.7918
650 1569.63 15633.4 644.741 -2.79314
660 1417.55 16620.9 645.814 -2.79404
670 1552.22 9095.67 647.129 -2.79438
680 1768.44 -317.636 648.573 -2.79418
690 1791.92 -3711.04 650.008 -2.79393
700 1699.91 -4755.46 651.369 -2.79385
710 1610.31 -3648.95 652.64 -2.79377
720 1685.22 -2702.89 653.84 -2.79358
730 1814.75 -3928.18 654.978 -2.79337
740 1852.24 -1162.84 656.047 -2.79345
750 1868.47 126.538 657.085 -2.79395
760 1872.15 -1780.65 658.111 -2.79481
770 1784 -2469.74 659.099 -2.7959
780 1650.72 373.515 660.044 -2.797
790 1581.4 600.032 660.981 -2.7978
800 1680.65 -2103.17 661.914 -2.79835
810 1552.36 1068.34 662.815 -2.79861
820 1609.24 -2153 663.713 -2.79865
830 1583.06 -4268.76 664.57 -2.79836
840 1500.05 -6574.84 665.346 -2.79783
850 1535.2 -10104 666.001 -2.79696
860 1632.05 -9841.54 666.485 -2.79582
870 1775.89 -9479.83 666.799 -2.79467
880 1781.03 -5751.07 666.956 -2.79379
890 1578.52 1309.98 667.025 -2.79318
900 1594.19 2635.49 667.111 -2.79253
910 1743.6 -784.92 667.24 -2.79172
920 1817.31 -3112.46 667.361 -2.79104
930 1772.4 -2438.77 667.437 -2.79071
940 1670.22 -1031.37 667.478 -2.79058
950 1603.65 -60.4421 667.506 -2.79043
960 1527.11 341.84 667.537 -2.79009
970 1514.56 -2133.27 667.574 -2.78945
980 1669.32 -8238 667.573 -2.78851
990 1881.94 -14080 667.438 -2.7876
1000 1926.55 -15505.9 667.077 -2.78724
1010 1787.69 -13002.8 666.469 -2.78753
1020 1650.11 -8949.82 665.658 -2.788
1030 1649.6 -6349.55 664.713 -2.7883
1040 1770.1 -8150.41 663.674 -2.78853
1050 1788.6 -5811.42 662.528 -2.78891
1060 1675.07 -539.203 661.315 -2.7893
1070 1618.35 984.932 660.115 -2.78953
1080 1586.29 1083.42 658.955 -2.78953
1090 1610.82 2570.39 657.842 -2.78927
1100 1727.56 871.608 656.791 -2.78886
1110 1838.14 -2872.85 655.776 -2.7886
1120 1898.18 -5422.42 654.737 -2.78878
1130 1882.75 -5240.45 653.639 -2.78946
1140 1917.24 -5289.43 652.48 -2.79054
1150 2016.55 -5619.14 651.26 -2.79219
1160 2004.14 -4719.43 649.98 -2.79447
1170 1895.7 -3358.42 648.652 -2.79719
1180 1715.96 882.478 647.304 -2.79974
1190 1648.63 3103.13 645.998 -2.80173
1200 1838.46 -3255.54 644.757 -2.80351
1210 2050.18 -8676.76 643.493 -2.80582
1220 1990.12 -7657.44 642.13 -2.80885
1230 1751.13 -2683.71 640.682 -2.81188
1240 1535.24 3509.77 639.224 -2.81418
1250 1369.23 12540.1 637.857 -2.81537
1260 1422.92 14298.6 636.706 -2.81563
1270 1578.34 12379.2 635.796 -2.81538
1280 1699.71 11568.9 635.102 -2.81492
1290 1817.15 7385.27 634.597 -2.81458
1300 1833.37 6599.6 634.227 -2.81457
1310 1723 7976.41 633.973 -2.81486
1320 1542.13 10778.7 633.853 -2.81513
1330 1499.1 11887.5 633.906 -2.81506
1340 1690.12 4298.93 634.134 -2.81468
1350 1754.27 2383.58 634.438 -2.81422
1360 1673.22 6132.57 634.788 -2.81391
1370 1735.82 6727.22 635.228 -2.81371
1380 1769.68 6042.89 635.769 -2.81358
1390 1750.07 6005.97 636.405 -2.81366
1400 1693.97 3629.36 637.126 -2.81383
1410 1670.55 3850.95 637.904 -2.81396
1420 1722.57 3276.96 638.734 -2.81405
1430 1776.89 3992.52 639.612 -2.81419
1440 1797.13 5444.83 640.547 -2.81454
1450 1785.18 3954.9 641.557 -2.81509
1460 1679.59 3927.4 642.622 -2.81573
1470 1538.69 4918.93 643.744 -2.81622
1480 1493.88 937.779 644.925 -2.81631
1490 1516.97 -1010.43 646.115 -2.81589
1500 1566.33 54.3053 647.28 -2.81514
1510 1612.44 37.9299 648.435 -2.8142
1520 1667.46 -3262.64 649.574 -2.81313
1530 1685.42 -3782.02 650.655 -2.81205
1540 1674.45 -2966.71 651.667 -2.81107
1550 1637.75 -505.948 652.625 -2.8102
1560 1634.64 530.056 653.564 -2.80935
1570 1711.31 -1048.31 654.5 -2.80848
1580 1738.7 -2104.7 655.413 -2.80768
1590 1673.07 -884.938 656.287 -2.80704
1600 1658.42 -887.595 657.138 -2.80649
1610 1702.59 -4543.13 657.962 -2.8059
1620 1623.54 -4748.78 658.711 -2.80531
1630 1522.18 -5165.83 659.374 -2.80466
1640 1530.54 -7835.82 659.944 -2.80377
1650 1552.31 -10847.6 660.379 -2.80259
1660 1608.25 -10999.3 660.635 -2.80128
1670 1636.14 -10332.9 660.709 -2.7999
1680 1746.55 -11173.7 660.611 -2.79863
1690 1752.72 -9202.71 660.339 -2.79755
1700 1637.92 -6009.13 659.923 -2.79678
1710 1409.96 -936.049 659.423 -2.796
