# Time-averaged data for fix 4
# TimeStep c_mytemp c_mypress v_vmyvol v_avgEtotal
10 1941.25 -11969.2 685.702 -2.72647
20 1972.29 -12650.8 685.927 -2.72368
30 1814.36 -7789.7 685.962 -2.72149
40 1623.5 -1204.69 685.881 -2.71956
50 1754.13 -3495.46 685.774 -2.71744
60 2045.69 -10048.3 685.612 -2.71505
70 2192.62 -14477.6 685.302 -2.71306
80 2214.65 -15472.9 684.777 -2.71206
90 2186.46 -12477.8 684.027 -2.71201
100 2221.28 -11078.8 683.096 -2.71274
110 2131.7 -8233.55 682.013 -2.71416
120 1883.35 -1901.5 680.829 -2.71564
130 1779.3 816.665 679.635 -2.71666
140 1883.38 1070.75 678.478 -2.71724
150 2018.18 -2286.28 677.355 -2.71774
160 1965.18 -1571.9 676.228 -2.71838
170 1838.24 3384.18 675.108 -2.71892
180 1830.5 3409.71 674.057 -2.71913
190 2005.42 124.331 673.077 -2.71919
200 2253.88 -2269.62 672.122 -2.71957
210 2322.27 -3276.08 671.155 -2.72082
220 2163.57 553.848 670.169 -2.72284
230 1970.23 2588.35 669.211 -2.72499
240 1803.53 5140.05 668.314 -2.72673
250 1828.43 5680.42 667.513 -2.72789
260 2108.14 -1406.41 666.805 -2.7289
270 2338.19 -6760.55 666.097 -2.73051
280 2277.07 -3681.17 665.316 -2.73301
290 2151.37 1610.46 664.502 -2.73592
300 2159.25 2723.94 663.726 -2.73896
310 2159.46 3720.34 663.01 -2.74218
320 2125.37 3327.86 662.365 -2.74547
330 2124.55 -1226.5 661.78 -2.74888
340 2075.44 -2410.47 661.198 -2.75221
350 2138.81 -6317.84 660.59 -2.75556
360 2134.46 -6100.7 659.911 -2.75905
370 2007.41 -2394.64 659.163 -2.7624
380 1822.98 2877.65 658.4 -2.76516
390 1671.35 8160.69 657.697 -2.76702
400 1579.7 10101.9 657.124 -2.76798
410 1571.12 9470.66 656.712 -2.76812
420 1719.13 3441.53 656.441 -2.76762
430 1907.46 -2514.35 656.23 -2.76675
440 2046.16 -7481.47 655.992 -2.76591
450 2089.24 -7827.56 655.661 -2.76545
460 2088.47 -7584.06 655.227 -2.76549
470 2000.33 -5495.77 654.697 -2.76594
480 1739.67 -1092.99 654.105 -2.76637
490 1603.88 1077.59 653.509 -2.76632
500 1657.57 -2008.67 652.933 -2.76571
510 1736.61 523.743 652.352 -2.76459
520 1894.54 789.763 651.789 -2.76318
530 1998.29 -2790.31 651.245 -2.7618
540 1894.75 973.553 650.688 -2.7607
550 1750.44 5782.18 650.159 -2.75971
560 1740.91 9222.45 649.724 -2.75851
570 1859.49 9938 649.429 -2.7571
580 1811.09 14195.8 649.291 -2.75565
590 1712.11 18902.8 649.365 -2.75424
600 1872.88 13173.3 649.699 -2.75275
610 2022.19 8515.24 650.226 -2.75118
620 2076.84 5188 650.875 -2.74997
630 2081.94 1028.75 651.594 -2.74926
640 2004.52 1326.65 652.33 -2.74898
650 2002.88 2546.17 653.084 -2.74898
660 2087.67 -176.193 653.863 -2.74922
670 1952.79 3299.29 654.645 -2.74972
680 1787.45 5299.43 655.468 -2.75026
690 1691.54 8616.71 656.366 -2.75045
700 1772.55 7235.67 657.376 -2.75028
710 1840.36 4370.46 658.483 -2.74972
720 1874.25 3593.89 659.649 -2.74901
730 2014.34 -1665.02 660.852 -2.74825
740 2108.12 -5557.83 662.024 -2.74761
750 2173.57 -10327.1 663.101 -2.74746
760 2098.92 -9745.51 664.025 -2.74786
770 1985.92 -5842.85 664.802 -2.74864
780 1989.8 -4922.04 665.482 -2.74951
790 2065.09 -6860.23 666.079 -2.75049
800 1960.37 -2650.47 666.583 -2.75158
810 1873.6 -824.58 667.04 -2.75261
820 1775.78 2675.88 667.486 -2.7534
