LAMMPS (23 Jun 2022 - Update 4)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Lattice spacing in x,y,z = 4.04525 4.04525 4.04525
Created orthogonal box = (0 0 0) to (8.0905 8.0905 8.0905)
  1 by 1 by 2 MPI processor grid
Created 32 atoms
  using lattice units in orthogonal box = (0 0 0) to (8.0905 8.0905 8.0905)
  create_atoms CPU = 0.000 seconds
Reading eam/alloy potential file ./Al_mm.eam.fs with DATE: 2007-06-11
Running simulation at Pressure: 0 Pa
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8.5
  ghost atom cutoff = 8.5
  binsize = 4.25, bins = 2 2 2
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair eam/alloy, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 3.221 | 3.221 | 3.221 Mbytes
   Step          Temp          Press          Volume         PotEng         KinEng         TotEng    
         0   300            2430.0276      529.57331     -109.14102      1.2021193     -107.9389     
       100   196.88745     -10217.373      542.09687     -108.51048      0.7889407     -107.72154    
       200   143.37758      12764.664      530.71193     -107.98935      0.57452323    -107.41483    
       300   91.057472     -2517.8952      543.79312     -107.41793      0.36487317    -107.05306    
       400   388.94408      7924.4113      533.85211     -108.2005       1.558524      -106.64198    
       500   410.66443     -12283.219      547.51942     -108.08204      1.6455588     -106.43648    
       600   366.31198      7431.5722      535.62788     -107.96167      1.4678357     -106.49383    
       700   227.1916      -7429.9614      545.78303     -107.68763      0.91037141    -106.77725    
       800   305.96312      8498.6876      533.00142     -108.18434      1.226014      -106.95833    
       900   267.69446     -8051.8179      544.35323     -108.02377      1.072669      -106.9511     
      1000   317.44363      10635.664      534.7773      -107.72987      1.2720171     -106.45785    
      1100   223.70635     -6889.5933      548.03553     -107.21811      0.89640577    -106.32171    
      1200   386.68995      8753.023       534.39592     -108.04041      1.5494916     -106.49091    
      1300   351.95443     -12132.498      546.79945     -108.17367      1.4103041     -106.76337    
      1400   313.42867      11073.997      532.1835      -108.06394      1.2559289     -106.80801    
      1500   191.22933     -9919.2558      547.95783     -107.55244      0.76626825    -106.78617    
      1600   287.04574      15120.648      531.38994     -107.77689      1.1502108     -106.62667    
      1700   435.091       -16466.139      551.84546     -107.81733      1.7434377     -106.07389    
      1800   484.38424      11700.842      534.21524     -107.89823      1.9409589     -105.95727    
      1900   295.25885     -13125.378      550.66193     -107.64608      1.1831213     -106.46296    
      2000   252.75073      19478.98       529.47438     -107.66334      1.0127885     -106.65055    
      2100   276.45862     -18441.776      551.5676      -107.92257      1.1077875     -106.81478    
      2200   367.51398      17098.855      527.20965     -108.2827       1.4726522     -106.81005    
      2300   287.94136     -20298.735      554.0108      -107.81032      1.1537996     -106.65652    
      2400   319.62196      26028.26       527.56619     -107.52356      1.2807458     -106.24281    
      2500   312.7923      -21056.173      556.63121     -107.52919      1.2533789     -106.27581    
      2600   363.26658      21002.11       526.10706     -108.06981      1.4556326     -106.61418    
      2700   260.9515      -22150.63       554.48509     -107.87193      1.0456495     -106.82629    
      2800   247.63675      26608.723      525.0903      -107.74871      0.99229643    -106.75641    
      2900   289.107       -20773.245      554.42296     -107.78711      1.1584704     -106.62864    
      3000   416.99878      19853.328      527.94776     -108.01759      1.670941      -106.34665    
      3100   345.17685     -21191.045      555.26146     -107.66013      1.3831459     -106.27698    
      3200   253.26055      21945.971      528.28853     -107.62429      1.0148314     -106.60946    
      3300   234.59211     -14867.896      549.83403     -107.88722      0.94002571    -106.9472     
      3400   314.52079      15118.07       529.28522     -108.17668      1.2603051     -106.91637    
      3500   323.77273     -14578.081      549.41558     -107.95822      1.2973782     -106.66084    
      3600   329.99834      13367.457      533.41609     -107.68082      1.3223246     -106.35849    
      3700   273.19917     -9911.0745      548.64581     -107.54841      1.0947267     -106.45368    
      3800   368.29691      8467.5831      534.52519     -108.0588       1.4757895     -106.58301    
      3900   273.10844     -7098.14        545.80286     -107.83345      1.0943631     -106.73908    
      4000   312.76295      8865.3921      534.40962     -108.04228      1.2532613     -106.78902    
      4100   266.16491     -8610.007       545.38969     -107.92331      1.06654       -106.85677    
      4200   307.24833      7388.2729      534.39128     -108.11486      1.2311639     -106.8837     
      4300   268.65867     -8204.0621      545.5077      -107.86951      1.0765326     -106.79298    
      4400   309.93413      10176.114      535.3718      -107.77151      1.241926      -106.52958    
      4500   272.04372     -6487.981       546.88039     -107.5156       1.0900967     -106.4255     
      4600   356.80368      6661.8604      535.9724      -108.06381      1.4297353     -106.63407    
      4700   307.77663     -8375.7567      543.4403      -108.2593       1.2332808     -107.02602    
      4800   322.57415      3365.947       535.4763      -108.29638      1.2925754     -107.0038     
      4900   258.40651     -5280.6773      543.73351     -107.8149       1.0354515     -106.77945    
      5000   266.04503      7552.1262      537.19036     -107.63587      1.0660596     -106.56981    
      5100   288.6224      -4091.0135      544.01134     -107.73974      1.1565286     -106.58321    
      5200   326.75305      5690.0614      536.60602     -107.97239      1.3093206     -106.66307    
      5300   332.32986     -7830.3497      544.16345     -108.13155      1.3316672     -106.79988    
      5400   289.20966      5481.5867      535.72326     -108.09011      1.1588818     -106.93123    
      5500   231.47335     -5805.6995      541.83083     -108.11096      0.92752862    -107.18343    
      5600   244.44667      5086.7096      534.59797     -108.17903      0.97951358    -107.19952    
      5700   296.82687     -6341.3487      543.61387     -108.00643      1.1894044     -106.81702    
      5800   355.54608      3870.869       537.72019     -108.02375      1.4246961     -106.59905    
      5900   301.41168     -4194.8722      543.82135     -107.80979      1.207776      -106.60202    
      6000   275.78115      6516.0163      536.35355     -107.86753      1.1050729     -106.76246    
      6100   257.97695     -7435.8306      543.2461      -108.12668      1.0337303     -107.09295    
      6200   274.34804      5413.9058      534.05922     -108.28967      1.0993303     -107.19034    
      6300   283.96398     -6373.5653      544.15408     -107.87594      1.137862      -106.73808    
      6400   319.63735      6337.6019      537.50467     -107.78123      1.2808075     -106.50042    
      6500   279.85509     -4437.688       544.60221     -107.72371      1.1213974     -106.60231    
      6600   328.19207      5009.5682      536.11409     -108.14045      1.3150868     -106.82537    
      6700   249.68203     -5737.4483      542.67135     -108.04074      1.000492      -107.04025    
      6800   281.27406      5059.0461      535.556       -108.11081      1.1270833     -106.98373    
      6900   290.49401     -4805.3002      545.07136     -107.63266      1.1640282     -106.46863    
      7000   393.17332      4422.5746      537.93702     -107.94663      1.5754708     -106.37116    
      7100   325.12534     -6519.0359      544.32855     -107.95705      1.3027982     -106.65426    
      7200   260.76776      7850.1716      534.98678     -107.93023      1.0449132     -106.88532    
      7300   255.10369     -6840.8444      544.14916     -107.93547      1.0222169     -106.91325    
      7400   312.03629      7009.5169      535.29026     -108.04963      1.2503495     -106.79928    
      7500   285.90627     -7691.7719      545.56021     -107.88719      1.1456449     -106.74154    
      7600   296.93478      9764.5728      534.12675     -107.90214      1.1898368     -106.7123     
      7700   256.12938     -10192.252      547.2432      -107.7537       1.0263269     -106.72737    
      7800   353.88853      9514.047       533.46195     -108.07092      1.4180542     -106.65287    
      7900   318.64435     -12097.285      548.73042     -107.80936      1.2768284     -106.53253    
      8000   339.9565       12534.785      533.36805     -107.82862      1.3622276     -106.46639    
      8100   256.33743     -11098.207      548.74694     -107.71884      1.0271606     -106.69168    
      8200   319.82157      12791.951      530.5602      -108.22561      1.2815457     -106.94406    
      8300   240.09108     -14169.502      548.48545     -107.99707      0.96206042    -107.03501    
      8400   289.254        18426.074      529.74083     -107.77066      1.1590594     -106.6116     
      8500   250.2911      -15093.582      553.37508     -107.3236       1.0029326     -106.32067    
      8600   399.43978      17048.264      529.56855     -108.03308      1.600581      -106.4325     
      8700   315.08088     -19711.136      552.43463     -108.00374      1.2625494     -106.74119    
      8800   305.30115      18136.765      528.29258     -108.04036      1.2233614     -106.81699    
      8900   204.06006     -14405.366      551.11783     -107.6135       0.81768181    -106.79581    
      9000   376.72551      18018.44       530.31765     -107.79293      1.5095634     -106.28336    
      9100   388.06994     -18865.436      555.35627     -107.62244      1.5550213     -106.06742    
      9200   412.68048      14633.126      531.45756     -108.00804      1.6536373     -106.3544     
      9300   258.02436     -14666.504      550.70207     -107.68774      1.0339202     -106.65382    
      9400   293.95661      16222.422      530.31417     -107.92489      1.1779031     -106.74699    
      9500   282.67818     -15627.596      549.9851      -107.96886      1.1327097     -106.83615    
      9600   340.09058      14313.117      530.70423     -108.06771      1.3627649     -106.70495    
      9700   305.16626     -12800.406      551.15395     -107.55338      1.2228209     -106.33056    
      9800   343.85698      15087.107      533.64402     -107.63485      1.3778571     -106.25699    
      9900   296.75401     -12628.52       549.23686     -107.83775      1.1891125     -106.64864    
     10000   345.5082       11124.699      531.81543     -108.21654      1.3844736     -106.83207    
     10100   241.73512     -10674.68       547.50671     -107.81277      0.96864821    -106.84413    
     10200   260.86209      12348.904      533.27344     -107.72953      1.0452912     -106.68424    
     10300   311.40259     -10185.041      548.32859     -107.75384      1.2478103     -106.50603    
     10400   426.1581       9820.244       536.22427     -107.72389      1.707643      -106.01625    
     10500   369.50849     -11455.348      549.89408     -107.70294      1.4806444     -106.2223     
     10600   308.99924      11687.266      533.17431     -107.90267      1.2381799     -106.66449    
     10700   277.98755     -9868.1812      546.81191     -107.8884       1.113914      -106.77449    
     10800   334.82224      7781.373       534.47416     -108.11957      1.3416543     -106.77792    
     10900   310.91459     -9890.4925      546.13796     -107.98846      1.2458548     -106.74261    
     11000   307.46288      9642.4848      535.10648     -107.77509      1.2320236     -106.54307    
     11100   273.66063     -5443.3027      546.9062      -107.45143      1.0965758     -106.35485    
     11200   339.08405      7788.6278      536.93854     -107.80191      1.3587317     -106.44318    
     11300   353.53854     -10945.438      545.22638     -108.27953      1.4166517     -106.86288    
     11400   277.1337       7543.4614      534.36497     -108.09792      1.1104926     -106.98743    
     11500   261.58327     -7611.1695      544.99721     -107.91474      1.048181      -106.86656    
     11600   265.26133      10192.92       535.51859     -107.68683      1.0629192     -106.62391    
     11700   322.80341     -7046.1778      545.91225     -107.82595      1.2934941     -106.53245    
     11800   324.44079      7466.105       535.8337      -107.88577      1.3000552     -106.58571    
     11900   306.42449     -8327.0718      545.53712     -107.92999      1.2278627     -106.70213    
     12000   336.21372      5599.2083      535.14308     -108.17942      1.34723       -106.83219    
     12100   222.73756     -7354.6923      544.67259     -107.89618      0.89252377    -107.00366    
     12200   260.23628      9135.1117      533.3311      -108.06108      1.0427836     -107.0183     
     12300   249.97903     -6227.5012      545.4524      -107.73725      1.0016821     -106.73557    
     12400   357.7347       7847.1082      536.56771     -107.86213      1.433466      -106.42866    
     12500   361.04016     -9608.9994      546.64317     -107.92944      1.4467112     -106.48272    
     12600   322.4576       4565.3783      536.25493     -108.10595      1.2921084     -106.81384    
     12700   261.3302      -6292.9559      542.4488      -108.12771      1.047167      -107.08054    
     12800   268.56193      4726.5452      536.06509     -108.09926      1.076145      -107.02312    
     12900   254.31386     -3193.0962      542.80545     -107.87485      1.019052      -106.8558     
     13000   301.74472      5908.1367      537.1182      -107.84843      1.2091106     -106.63932    
     13100   291.59701     -4139.3546      544.24648     -107.73257      1.168448      -106.56412    
     13200   335.25484      3064.5418      538.38691     -108.0106       1.3433878     -106.66721    
     13300   286.30605     -5406.4132      541.84634     -108.20934      1.1472468     -107.06209    
     13400   261.81878      2853.6314      536.53977     -108.17379      1.0491247     -107.12467    
     13500   280.84371     -3035.1613      541.56222     -107.96941      1.1253589     -106.84405    
     13600   293.66941      2630.7368      539.78227     -107.76301      1.1767523     -106.58625    
     13700   325.72765     -2092.8913      542.7289      -107.8721       1.3052117     -106.56689    
     13800   302.02702      2980.5532      539.06024     -107.91721      1.2102418     -106.70697    
     13900   270.51123     -2881.9191      540.93305     -108.10171      1.0839559     -107.01776    
     14000   212.96331      2880.1708      536.16794     -108.19371      0.85335772    -107.34035    
     14100   224.4773      -3284.5445      540.24528     -108.15117      0.89949504    -107.25167    
     14200   300.44748     -25.164493      538.43371     -108.23792      1.2039124     -107.034      
     14300   318.19787     -2858.9139      541.16515     -108.11145      1.2750394     -106.83641    
     14400   287.6499       3901.3057      539.38406     -107.74565      1.1526317     -106.59302    
     14500   283.17986      325.67927      542.19088     -107.61045      1.13472       -106.47573    
     14600   333.47278     -401.15258      540.44716     -107.98573      1.3362469     -106.64948    
     14700   314.69511     -2937.2924      539.66144     -108.31246      1.2610036     -107.05145    
     14800   259.55741      455.65162      538.52172     -108.10338      1.0400633     -107.06332    
     14900   258.3548       131.894        540.23057     -107.89752      1.0352443     -106.86228    
     15000   309.55742      20.673491      540.56183     -107.92897      1.2404165     -106.68855    
     15100   336.52076     -1311.3299      541.28631     -107.9996       1.3484604     -106.65114    
     15200   313.0027       340.4091       540.60725     -107.95088      1.254222      -106.69666    
     15300   224.61581      2773.7031      539.56824     -107.7163       0.90005003    -106.81625    
     15400   232.81921     -481.73262      539.41179     -108.08482      0.9329216     -107.15189    
     15500   261.19279      265.33899      537.40134     -108.29757      1.0466163     -107.25095    
     15600   335.31417     -3680.6121      540.64252     -108.26804      1.3436255     -106.92442    
     15700   267.78855      388.62031      540.76785     -107.7749       1.073046      -106.70185    
     15800   301.82685      719.3561       540.3287      -107.87231      1.2094396     -106.66287    
     15900   285.914        619.7342       540.47629     -107.85049      1.1456758     -106.70481    
     16000   311.1591      -362.11982      539.61508     -108.13852      1.2468346     -106.89169    
     16100   228.16226      539.41198      538.76804     -108.0777       0.9142609     -107.16344    
     16200   241.051       -399.34249      538.87607     -108.10371      0.96590692    -107.1378     
